ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2671,"Mban kokën drejtë, pa e mbështetur atë","<p>Kur është në një pozicion gjysmë të ulur, ajo mund ta mbajë kokën në ekuilibër dhe drejtë.</p>",,6841,6841,,al-sq,review_after_translation
2676,"Në pozicionin përmbys, mbështetet në mënyrë të qëndrueshme në parakrahë dhe shtyn trupin lart me bërryla","<p>Siç është duke qëndruar përmbys, ajo ngre supet dhe kokën duke u mbështetur me bërrylat e saj.</p>",,,,,al-sq,review_after_translation
2681,Zhvillon një lojë komplekse dhe përfshin të tjerët në të,<p>Pëlqen lojën 'sikur' dhe natyra e lojës është imagjinare me shumë elementë fantazie. Ndonjëherë nuk është e sigurt se çfarë është reale dhe çfarë është imagjinare.</p>,,6831,6831,,al-sq,review_after_translation
2686,Këndon pjesë të thjeshta të këngëve,<p>Këndon pjesë të thjeshta të këngëve</p>,,,,,al-sq,review_after_translation
2691,"Rrotullohet nga stomaku në shpinë dhe nga shpina në stomak, në të dy anët","<p>Ajo mund të rrotullohet dhe të kthehet në çdo drejtim (si nga ana e majtë dhe ajo e djathtë), si nga shpina në stomak dhe nga stomaku në shpinë.</p>",,6426,6426,,al-sq,review_after_translation
2696,Mund të ulet me pak mbështetje,"<p>Kur ai/ajo ka mbështetje ose mbështetet në diçka, foshnja mund të ulet dhe për një kohë të shkurtër mund të mbajë pozicionin ulur në mënyrë të pavarur.</p>",,,,,al-sq,review_after_translation
2701,Mund të thotë një fjali me 2 deri në 3 fjalë,<p>Mund të formulojë dhe të thotë fjali me 2 deri në 3 fjalë mjaft mirë sa anëtarët e familjes mund ta kuptojnë atë.</p>,,6816,6816,,al-sq,review_after_translation
2706,"Kur qëndron në këmbë, ajo mund ta mbajë peshën e saj për një kohë të shkurtër duke u mbështetur në këmbë","<p>Kur e mbani foshnjën tuaj në këmbë lart mbi dysheme, ajo mbështetet në dysheme ose duket sikur po kërcen.</p>",,,,,al-sq,review_after_translation
2711,"Mund të thotë emrin, moshën dhe gjininë e vet","<p>Mund të thotë emrin, moshën dhe gjininë e vet.</p>",,,,,al-sq,review_after_translation
2716,Eksploron gjërat duke i futur në gojë.,"<p>Ai vendos gjithçka që kap në gojën e tij, shpeshherë ai i fut edhe këmbët e tij në gojë.</p>",,6436,6436,,al-sq,review_after_translation
2721,"Merr gjëra që nuk arrihen me një dorë, dhe kur i kap ato, mund t'i lëvizë nga njëra dorë në tjetrën","<p>Ajo akoma i mban objektet me njërën dorë, por manipulon duke i transferuar nga njëra dorë në tjetrën dhe duke përdorur pjesën e brendshme të pëllëmbës, gishtin e madh dhe gishtin tregues, ndërsa gishtat e tjerë qëndrojnë të fiksuar.</p>",,6431,6431,,al-sq,review_after_translation
2726,Kupton fjalë komplekse,"<p>Kupton terma të tillë si: ""të ngjashëm"" dhe ""të ndryshëm"", ""i/e lehtë"" dhe ""i/e vështirë"", ""i/e mirë"" dhe ""i/e keq"", ""i/e vogël"" dhe ""i/e madh"".</p>",,6801,6801,,al-sq,review_after_translation
2731,"Përgjigjet ndaj tingullit të zërit duke krijuar tinguj – duke bashkuar zanoret: a, e, u...","<p>Kur dikush i drejtohet atij duke folur, duke kënduar, duke lexuar për të... dhe fëmija reagon.</p>",,6421,6421,,al-sq,review_after_translation
2736,Shpreh me zë të lartë pakënaqësinë ose gëzimin,<p>Ajo qan dhe proteston me zë të lartë për të shprehur <em>ndjenjat e pakëndshme dhe qesh me zë të lartë për të shprehur kënaqësi. </em></p>,,6411,6411,,al-sq,review_after_translation
2741,"Kupton kuptimin e fjalëve të tilla si ""e imja, e jotja, i/e asaj"", përdor parafjalë dhe përemra","<p>Shqipton fjalë si ""unë"", ""ti"", ""ne"" dhe njeh shumësin e disa fjalëve - si ""qentë"", ""macet"".</p>",,,,,al-sq,review_after_translation
2746,Fëmija është i ngazëllyer kur kupton që është koha për të luajtur,"<p>Ai gëzohet, duket i lumtur dhe kënaqet me lojën dhe kontaktet, veçanërisht me prindërit dhe personat e njohur.</p>",,6441,6441,,al-sq,review_after_translation
2751,Ndjek udhëzimet që përmbajnë dy ose tre kërkesa,<p>Mund të përgjigjet ndaj kërkesave të shumta të ndërlidhura verbale (“lëre kukullën dhe ulu në karrige” (“zhvishe xhaketën dhe vish këpucët”). </p>,,6836,6836,,al-sq,review_after_translation
2756,"Shfaq një gamë të gjerë të emocioneve, dhe njeh emocionet e të tjerëve","<p>Shfaq zemërim, frikë, faj, turp, dhe fillon të tregojë empati, kështu njeh se si ndihen të tjerët (për shembull, ai/ajo dëshiron ta ngushëllojë mikun e tij/saj që po qan me një përqafim).</p>",,6821,6821,,al-sq,review_after_translation
2761,Njeh anëtarët e familjes dhe i dallon ata nga personat e huaj. Fëmija mund të ketë frikë nga të huajt.,"<p>Njeh anëtarët e familjes dhe i dallon ata nga personat e huaj. Fëmija mund të ketë frikë nga të huajt. Ajo është e lumtur kur sheh persona të njohur, qesh me ta, si dhe u përgjigjet ndryshe njerëzve të njohur dhe atyre të panjohur.</p>",,,,,al-sq,review_after_translation
2766,Pëlqen të luajë në shoqërinë e fëmijëve,"<p>Loja nuk është më vetëm në mënyrë paralele – krahë për krahë, por ka elemente më komplekse, imagjinar dhe gjallëri.</p>",,6931,6931,,al-sq,review_after_translation
2771,Mërzitet kur prindi del nga dhoma dhe relaksohet kur prindi rikthehet.,<p>Mërzitet kur prindi del nga dhoma dhe relaksohet kur prindi rikthehet. Ai tregon shenja ankthi ose fillon të qajë kur prindi del nga dhoma. Ai është i lumtur kur prindi ose persona të afërt rikthehen në dhomë.</p>,,6506,6506,,al-sq,published
2776,Reagon kur dëgjon emrin e vet.,<p>Reagon kur dëgjon emrin e vet. Ajo fillon të njohë emrin e vetë kur dikush e thërret atë.</p>,,6446,6446,,al-sq,published
2781,E ndjen më të lehtë ndarjen nga prindërit,"<p>Reagimet ndaj ndarjes janë më pak intense, ajo qetësohet më shpejtë dhe mëson të mbështetet tek të rriturit e tjerë që gjenden afër kur prindërit largohen.</p>",,6796,6796,,al-sq,published
2786,"Fillon të kuptojë kuptimin e fjalës ""jo"".","<p>Fillon të kuptojë kuptimin e fjalës ""jo"". Kur ai dëgjon fjalën, ai ndalon aktivitetin dhe njeh mosaprovimin.</p>",,6476,6476,,al-sq,published
2791,"Dërdëllit, bën rrokje dhe prodhon shumë tinguj të ndryshëm","<p>Dërdëllit, bën rrokje dhe prodhon shumë tinguj të ndryshëm. Ajo përdor kombinime të shumëfishta të tingujve dhe çiftëzon bashkëtingëllore dhe zanore të ndryshme, përpiqet të përsërisë ose të imitojë tingujt që shqiptojnë të rriturit.</p>",,6451,6451,,al-sq,published
2796,Mund të ngjitet dhe të zbresë shkallëve,"<p>Mund të ngjitet dhe të zbresë shkallëve, me mbështetje është i/e gatshëm/gatshme të ngjitet shkallëve ose të zbresë nga to me pak ndihmë.</p>",,6626,6626,,al-sq,published
2801,Fillon të komunikojë me lëvizje.,"<p>Fillon të komunikojë me lëvizje. Komunikon në mënyrë jo-verbale, duke treguar me dorë objektet e dëshiruara ose duke tundur kokën për të thënë ""jo"".</p>",,6481,6481,,al-sq,published
2806,Ndjek objektin që bie dhe kërkon objektin e fshehur,"<p>Ndjek objektin që bie dhe kërkon objektin e fshehur. Nëse objekti është i fshehur nën një filxhan ose batanije, foshnja përpiqet ta zbulojë atë. Kur një objekt bie ose mamaja e hedh atë, foshnja e kërkon me sy objektin e hedhur.</p>",,6496,6496,,al-sq,review_after_translation
2811,"Mund të qëndrojë në këmbë të veta, të vrapojë, të kërcejë, dhe të godasë topin","<p>Mund të qëndrojë në këmbë të veta, të vrapojë, të kërcejë, të godasë topin dhe ta gjuajë më lart se koka e vet.</p>",,6646,6646,,al-sq,published
2816,Përdor njërën dorë më shumë se tjetrën,<p>Fillon të përdor njërën dorë më shumë – të majtën apo të djathtën.</p>,,6666,6666,,al-sq,review_after_translation
2821,Shkarravit në mënyrë të pavarur në letër,"<p>Është i aftë të mbajë një laps dhe të shkarravit, të vizatojë ose të kopjojë vija dhe rrathë.</p>",,6661,6661,,al-sq,published
2826,Ende vendos objekte në gojën e vet,<p>Ende vendos objekte në gojën e vet. Foshnja eksploron objekte duke i mbajtur në gojën e vet. </p>,,6456,6456,,al-sq,published
2831,Fillon të ndajë dhe çiftëzoj gjërat,"<p>Ajo mund të çiftëzoj gjërat, për shembull, një kafshë me një kafshë, një çorape me një çorape.</p>",,,,,al-sq,published
2836,"Lehtësisht transferon objektet nga njëra dorë në tjetrën, dhe i lëkund ato.","<p>Lehtësisht transferon objektet nga njëra dorë në tjetrën, dhe i lëkund ato. Ajo manipulon me objektet duke i lëvizur nga dora e majtë në dorën e djathtë, si dhe anasjelltas.<strong>           </strong></p>",,6501,6501,,al-sq,review_after_translation
2841,Kap objekte të vogla.,<p>Kap objekte të vogla. Ai kap objekte të vogla duke përdorur gishtin e madh dhe gishtin tregues. Ai ende përdor të gjithë sipërfaqen e gishtit jo vetëm majat e gishtave për të mbajtur objektin.</p>,,,,,al-sq,published
2846,Përdor lodrat me qëllim të caktuar për lojëra,"<p>Mund të luajë me lodra, e di se se për çfarë shërbejnë dhe si mund t'i përdorë ato në lojë.</p>",,6656,6656,,al-sq,published
2851,Mund të ngrihet në këmbë vetë dhe të ulet vetë pa mbështetje.,<p>Mund të ngrihet në këmbë vetë dhe të ulet vetë pa mbështetje. Ajo në mënyrë të pavarur merr pozitën ulur. Ajo ulet pa mbështetje dhe ndihmë shtesë.</p>,,6466,6466,,al-sq,published
2856,Tërheq veten dhe zvarritet. Disa fëmijë tashmë fillojnë të zvarriten.,<p>Tërheq veten dhe zvarritet. Disa fëmijë tashmë fillojnë të zvarriten. Ai mund të vihet vetë në një pozicion duke u zvarritur. Ai lëviz duke u zvarritur qoftë prapa apo para.</p>,,6486,6486,,al-sq,review_after_translation
2861,Luan lojëra të thjeshta “imagjinative” (sikur),"<p>Luan lojëra të thjeshta ""imagjinative”, për shembull – ushqen një kukull, apo bën sikur po ha një tortë.</p>",,"6631, 3651, 4786","6631, 3651, 4786",,al-sq,published
2866,"Shtyn trupin e vet lart, dhe përpiqet të ngrihet në këmbë.","<p>Shtynë trupin e vet lart, dhe përpiqet të ngrihët në këmbë. Ajo përpiqet të ngrihët në këmbë duke u mbështetur në mobilie, por i nevojitet ndihmë dhe mbështetje.</p>",,"4531, 6471","4531, 6471",,al-sq,published
2871,Shfaq turp dhe nervozizëm kur komunikon me të huajt,"<p>Në prani të të huajve tregon sjellje më të ndryshme sesa me njerëzit që njeh. Ai fillon të ndjejë siklet nga personat që nuk i njeh (shmang kontaktin me sy, dhe mbështetet te personat e njohur).</p>",,6526,6526,,al-sq,review_after_translation
2876,Pjesë të komunikimit të fëmijës mund të kuptohen edhe nga njerëz që nuk janë me të çdo ditë,"<p>Ai fillon të shqiptojë zërat më qartë dhe përdor gjithnjë e më shumë fjalë me kuptim, dhe për këtë arsye komunikimi është më i lehtë.</p>",,,,,al-sq,published
2881,Njeh kafshët dhe tingujt e tyre,<p>Ndërlidh zhurmat me kafshët.</p>,,6616,6616,,al-sq,review_after_translation
2886,Qan kur ndahet nga prindërit,"<p>Shfaq shenja të dukshme të shqetësimit, menjëherë pas ndarjes nga prindërit.</p>",,,,,al-sq,review_after_translation
2891,"Në komunikim me njerëz, përdor një kombinim të fjalëve dhe gjesteve","<p>Shpreh një fjali me 2 deri në 4 fjalë dhe flet për veten në vetën e tretë ""Mia dëshiron"", ""Ema ulet"". </p>",,6621,6621,,al-sq,published
2896,Ka një lodër të preferuar,"<p>Preferon një lodër të caktuar, e kërkon atë, e bart me vete.</p>",,,,,al-sq,published
2901,"Kërkon të ndajë interesat dhe kënaqësitë me të rriturit, në mënyrë spontane","<p>Pëlqen lojëra reciproke, ""unë ta jap ty - ti ma jep mua"", ""unë bëj - ti bën"" dhe të ngjashme.</p>",,6551,6551,,al-sq,published
2906,"Kupton emrin e tij, emrat e personave të njohur, emrat e objekteve nga mjedisi i tij, veprimet e përditshme dhe fjalën ""jo""","<p>Përgjigjet në mënyrë të duhur ndaj thirrjes së emrit të tij apo ndaj fjalës ""jo"".</p>",,6546,6546,,al-sq,published
2911,"Përsërit rrokjet, dhe disa fëmijë tashmë mund të thonë fjalë me kuptim","<p>Prodhon shumë tinguj të ndryshëm (maaa, baaa, daaaad...) dhe përdor disa prej tyre si fjalët e para të njohura duke ditur kuptimin e tyre (nëna, babai…).</p>",,6531,6531,,al-sq,published
2916,Kupton një udhëzim apo direktivë të shkurtër,"<p>Kupton kur i thoni asaj ""sill topin"" ose ""jepja nënës"".</p>",,6541,6541,,al-sq,published
2921,Imiton dhe përdor gjeste,"<p>Ai mund të thotë ""pa-pa"" për të përshëndetur, lëviz kokën për të thënë ""jo"", drejton gishtin drejt objektit që dëshiron.</p>",,"3566, 6521","3566, 6521",,al-sq,review_after_translation
2926,Kupton dhe ndjek më shumë se një udhëzim të thjeshtë,"<p>Mund të ndjekë një ose edhe më shumë kërkesa të thjeshta verbale të tilla si: ""sill një jastëk"", ""eja ulu"", ""hidhe në kosh të mbeturinave""…</p>",,,,,al-sq,review_after_translation
2931,"Me kureshtje eksploron me lodrat: i tund ato, i godet, i hedh, u kushton vëmendje detajeve.",<p>Eksploron objekte duke goditur ose duke i ndeshur me njëri tjetrin (duke vendosur një filxhan mbi një tavolinë ose një lodër mbi një lodër tjetër).</p>,,"3586, 6561","3586, 6561",,al-sq,published
2936,"Zgjedh objekte të vogla me gishta, dhe ushqehet me gishta","<p>Ka një ""kapje"" më të mirë - mund të manipulojë me objekte shumë të vogla duke i kapur ato me gishtin e madh dhe me gishtin tregues.</p>",,"3571, 6536","3571, 6536",,al-sq,review_after_translation
2941,Vendos gjërat në një kuti dhe më pas i nxjerr nga ajo.,<p>Ka aftësi për të manipuluar më saktësisht objektet. Ai madje mund të vendosë objekte të vogla në një kuti ose një shishe dhe më pas t'i nxjerrë jashtë saj.</p>,,"4761, 6846","4761, 6846",,al-sq,published
2946,Luan krahë për krahë me fëmijë të tjerë,"<p>Luan në mënyrë të pavarur pranë fëmijëve të tjerë; nuk ka nevojë të bashkohet me ta, por nuk ua prishë lojën, mund të fillojë t'i përfshijë gradualisht në lojë, për shembull, duke u ofruar atyre një lodër.</p>",,"6636, 3601","6636, 3601",,al-sq,published
2951,Ngrihet në këmbë duke u mbështetur në mobilie dhe fillon të ecë afër mobilieve.,"<p>Ajo mund të qëndrojë në këmbë me mbështetje ose edhe e vetme pa mbështetje, për një kohë të shkurtër. Ajo përpiqet të lëvizë duke u mbështetur në mobilie ose duke mbajtur dorën e një të rrituri.</p>",,"3346, 6556","3346, 6556",,al-sq,published
2956,Imiton sjelljen e të rriturve dhe të fëmijëve më të rritur,"<p>Imiton të rriturit dhe bën gjërat që i sheh nga ata, për shembull, shtynë një karrocë fëmijësh, ose lexon një gazetë…</p>",,"6641, 3566","6641, 3566",,al-sq,review_after_translation
2961,Ndihmon me veshjen,"<p>Bashkëpunon kur e vishni atë, fut dorën në mëngët e tij dhe këmbët në çorape.</p>",,,,,al-sq,published
2966,Bëhet gjithnjë e më i pavarur,"<p>Ndonjëherë reziston në realizimin e urdhrave, zemërohet, dëshiron të kontrollojë të tjerët, grindet, urdhëron, dhe mbron gjërat e tij.</p>",,4781,4781,,al-sq,review_after_translation
2971,Mund të shprehë ndjenjat,"<p>Mund të shprehë dhe të shfaq një larmi të ndjenjave: frikë, zemërim, dhembshuri, faj, gëzim.</p>",,"3656, 4731","3656, 4731",,al-sq,review_after_translation
2976,"Qëndron në këmbë, lëviz dhe ecën në mënyrë të pavarur.","<p>Ai mund të lëvizë në mënyrë të pavarur në drejtime të ndryshme, me shpejtësi të ndryshme ose të kombinojë lëvizje të ndryshme (për të ndaluar lëvizjen dhe për të bërë me dorë).</p>",,"4841, 4771, 6591","4841, 4771, 6591",,al-sq,review_after_translation
2981,Kupton dhe realizon urdhra të thjeshtë,"<p>Ndjek udhëzimet e thjeshta pa demonstrim, si dhe mund të kryejë atë që pritet prej tij.</p>",,"6571, 4776","6571, 4776",,al-sq,published
2986,Shqipton fjalë me kuptim.,<p>Ajo flet të paktën një ose disa fjalë individuale kur u drejtohet prindërve.</p>,,6851,6851,,al-sq,review_after_translation
2991,Ende shfaq frikë ndaj të huajve dhe situatave,"<p>Në kontakt me një të huaj, ai reagon me frikë, duke kërkuar një person të njohur ose duke u kapur pas prindit.</p>",,"3601, 3646, 346","3601, 3646, 346",,al-sq,review_after_translation
2996,I pëlqen të luajë lojëra imagjinative,"<p>Luan ""lojëra imagjinative"", ajo bën sikur pi çaj, ose sikur po ushqen një kukull, etj.</p>",,"6576, 2161, 2141, 4786","6576, 2161, 2141, 4786",,al-sq,published
3001,Shkarravit në letër në mënyrë të pavarur me një laps ose shkumësa me ngjyra,"<p>I pëlqen të shkarravisë, qoftë me laps në letër, me dorë në rërë, me shkop mbi baltë, apo ujë në beton. </p>",,"3571, 6606","3571, 6606",,al-sq,review_after_translation
3006,Di si të përdor objektet për përdorim të përditshëm,"<p>Demonstron njohuri të përdorimit të objekteve siç janë luga, furça e dhëmbëve, telefoni.</p>",,"3991, 6601","3991, 6601",,al-sq,review_after_translation
3011,Vendos një objekt të caktuar në një tjetër,<p>Vendos gjëra në një pjatë apo gotë dhe më pas i heq nga aty. </p>,,"2116, 1986, 6586","2116, 1986, 6586",,al-sq,review_after_translation
3016,"Në komunikim, ai përdor gjestet për një kuptim të ndërsjelltë më të mirë","<p>Ai përpiqet të imitojë gjestet që bëjnë të rriturit dhe fjalët që ata thonë. Përdor në mënyrë të përshtatshme gjestet në përgjigje të kërkesave (""mirupafshim"" ose ""jo"").</p>",,"6596, 4776","6596, 4776",,al-sq,published
3021,Pret me padurim për aktivitete të përbashkëta,"<p>Ajo imiton shprehjet e fytyrës, gjestet dhe disa aktivitete të njerëzve të afërt, tregon me gishtin tregues atë që i intereson ose u ofron gjëra njerëzve të tjerë në mënyrë që t'u shtojë atyre interesin për to, dhe t'i përfshijë ata në lojë.</p>",,"3646, 6581","3646, 6581",,al-sq,published
5861,Tregon më shumë interes në libra,"<p>Tregon interes në libra me imazhe, mund të ndërrojë vetë faqet e një libri me kopertina të forta.</p>",,6806,6806,,al-sq,review_after_translation
6971,Tregon interes për të luajtur me fëmijë dhe të rritur të tjerë,<p>Kërkon të tjerët për të luajtur me të; di sesi të përfshihet në lojë dhe të mësojë nga fëmijët dhe të rriturit e tjerë ndërsa luajnë së bashku.</p>,,,,7421,al-sq,published
6976,I pëlqen të kënaqë të tjerët dhe të ndërveprojë me ato,"<p>Njeh ndjenjat e të tjerëve; ndjen kënaqesi kur ndan emocionet  me të tjerë; si dhe është në gjendje të kuptojë konceptin e ""radhës"".</p>",,,,7426,al-sq,published
6981,Përdor fjali me 4 deri në 5 fjalë,<p>I përdor fjalët së bashku në mënyra që kanë kuptim dhe që komunikojnë idetë e saj/tij.</p>,,,,7431,al-sq,published
6986,Njeh dhe kupton numrat 2 dhe 3,"<p>Nëse j'ua kërkoni, ata/ato mund të zgjedhin dy ose tre objekte (lodra, lugë, etj), ose të shikojnë në një kuti me gjëra dhe të tregojnë që aty gjenden dy ose tre objekte.</p>",,,,7436,al-sq,published
6991,Kupton termat “të ngjashëm” ose “të njëjtë” dhe “të ndryshëm” si dhe mund t'i grupojë gjërat në mënyra të ndryshme (si p.sh. sipas ngjyrës ose madhësisë),"<p>Për shembull, fëmija mund të flasë për kafshët me gëzof dhe ato që kanë pupla; fëmija mund të tregojë një gjë që është e ndryshme nga të tjerët në një libër (për shembull, djali i vetëm që mban një top).</p>",,,,7831,al-sq,published
6996,"I dinë dallimet themelore mes gjërave që janë reale, të pretenduara ose imagjinare","<p>Trillon histori për një personazh që nuk ekziston, ose e di që kafshët nuk mund të flasin në jetën reale.</p>",,,,,al-sq,published
7001,Flet për gjërat që ndodhin në jetën e tij/të saj,"<p>Mund të tregojë për një festë ditëlindje që ka ndodhur javën e kaluar, ose të përshkruajë një udhëtim që ka bërë me familjen.</p>",,,,7446,al-sq,published
7006,Këndon një këngë ose tregon histori që janë mësuar përmendësh,<p>Mendon për një histori ose këngë të dëgjuar në të kaluarën dhe përpiqet që të kujtojë fjalët.</p>,,,,,al-sq,published
7011,Mund të shkruaj disa shkronja të alfabetit apo të mundohet të kopjoj fotot të tjera kur i tregohen atij/asaj paraprakisht,"<p>Shikon shkronjat apo fotografitë e objekteve dhe mundohet t`i kopjoj, megjithëse mund të mos duken të sakta</p>",,,,,al-sq,published
7016,Përdor në mënyrë më të saktë gishtat dhe duart,"<p>Tregon më shumë aftësi në përdorimin e gërshërëve; ndërton kulla (për shembull, me 8 ose më shumë blloqe të mëdha). </p>",,,,7461,al-sq,published
7021,Luan lojëra të thjeshta duke ndjekur rregullat,<p>Ndjek rregulla të thjeshta në lojë dhe respekton rradhën.</p>,,,,7466,al-sq,published
7026,"Ec, vrapon, kërcen, hedh dhe gjuan lehtësisht me shkathtësi topa të mëdhenj","<p>Përdor trupin me shkathtësi (për shembull, nëse ka mundësi- ai/ajo mund të ngasë një skuter ose biçikletë, apo patina, etj).</p>",,,,7471,al-sq,published
7031,Përdor trupin me shumë shkathtësi në aktivitete,"<p>Qëndron në njërën këmbë, kërcen, lëkundet, dhe ngjitet. Nëse ka mundësi mund të ngasë një biçikletë ose skuter, si dhe manipulon me shkathtësi një top duke përdorur vetëm krahët e tij/saj apo vetëm këmbët e tij/saj.</p>",,,,7476,al-sq,published
