ID,Title,Body,Child_age,Related_video_articles,Related_activities,Translation_language,Moderation_state
2671,"Держит голову прямо, без поддержки","<p>В полусидячем положении она может держать голову в вертикальном положении и сохранять равновесие.</p>",,6841,,kg-ru,draft
2676,"В положении лежа, устойчиво опирается на предплечья и отталкивается вверх на локтях","<p>Лежа на животе, она высоко поднимает плечи и голову, опираясь на локти.</p>",,,,kg-ru,draft
2681,"Развивает сложную игру и вовлекает в нее других","<p>Любит ролевую игру, творческую игру, со множеством вымышленных элементов. Иногда не ясно, что реально, а что выдумано.</p>",,6831,,kg-ru,draft
2686,"Поет отрывки из простых песен","<p>Поет отрывки из простых песен.</p>",,,,kg-ru,draft
2691,"Перекатывание с животика на спинку и со спины на животик с обеих сторон","<p>Она может переворачиваться и поворачиваться в любом направлении, как на левую, так и на правую стороны, как со спины на животик, так и с животика на спину.</p>",,6426,,kg-ru,draft
2696,"Может сидеть при небольшой поддержке","<p>Ребенок может сидеть и в течение короткого времени самостоятельно сохранять положение сидя, если он опирается на что-то или держится за что-то.</p>",,,,kg-ru,draft
2701,"Может составлять предложения из 2–3 слов","<p>Может составлять и произносить предложения из 2–3 слов достаточно хорошо, чтобы члены семьи могли ее понять.</p>",,6816,,kg-ru,draft
2706,"В вертикальном положении, опираясь на ноги, она может некоторое время выдерживать свой вес.","<p>Когда вы держите малышку вертикально над полом, она опирается об пол или же выглядит так, как будто она подпрыгивает.</p>",,,,kg-ru,draft
2711,"Может назвать свое имя, возраст и пол","<p>Может назвать свое имя, возраст и пол</p>",,,,kg-ru,draft
2716,"Исследует предметы, кладя их себе в рот.","<p>Все, до чего он дотягивается, кладет себе в рот, очень часто ко рту тянет и ноги.</p>",,6436,,kg-ru,draft
2721,"Тянется к предметам одной рукой, которые находятся вне досягаемости, а когда она берет их, то может перекладывать их из одной руки в другую.","<p>Она все еще тянется к предметам одной рукой, но манипулирует двумя, перекладывая их из одной руки в другую. Использует тыльную часть ладони, большой и указательный пальцы, в то время как другие пальцы остаются неподвижными.</p>",,6431,,kg-ru,draft
2726,"Понимает сложные слова","<p>Понимает такие понятия, как «похожие» и «разные», «легкий» и «тяжелый», «хороший» и «плохой», «маленький» и «большой».</p>",,6801,,kg-ru,draft
2731,"Отзывается на голоса, издавая звуки - слиянием простых гласных: а, э, у...","<p>Когда кто-то обращается к малышу, разговаривает, поет или читает, то он в ответ издает звуки.</p>",,6421,,kg-ru,draft
2736,"Громко выражает недовольство или радость","<p>Она плачет или громко протестует, чтобы выразить неприятные чувства, и громко смеется, чтобы выразить удовольствие.</p>",,6411,,kg-ru,draft
2741,"Понимает значение таких слов, как «мое», «твое», «ее», «его», использует предлоги и местоимения.","<p>Произносит такие слова, как «я», «ты», «мы» и знает формы множественного числа некоторых слов, например, «собаки», «кошки».</p>",,,,kg-ru,draft
2746,"Малыш в восторге, когда понимает, что пора играть","<p>Он радуется, выглядит счастливым, любит игры и общение, особенно с родителями и близкими людьми.</p>",,6441,,kg-ru,draft
2751,"Выполняет инструкции, содержащие два или три указания.","<p>Может выполнить несколько связанных между собой устных указаний («оставь куклу и сядь на стул», «сними куртку и надень тапочки»). </p>",,6836,,kg-ru,draft
2756,"Показывает широкий спектр своих эмоций и распознает эмоции других","<p>Показывает гнев, страх, вину, стыд и начинает проявлять сочувствие, поэтому она понимает, что чувствуют другие (например, она хочет утешить своего плачущего друга объятием).</p>",,6821,,kg-ru,draft
2761,"Узнает членов семьи и отличает их от посторонних. Малыш может бояться незнакомых людей.","<p>Узнает членов семьи и отличает их от посторонних. Она может бояться незнакомых людей. Малышка рада видеть знакомых, смеется им, по-разному реагирует на знакомых и незнакомых людей.</p>",,,,kg-ru,draft
2766,"Любит играть в компании детей.","<p>В дальнейшем игра малыша с другими детьми проходит не параллельно - бок о бок, а имеет более сложные элементы, творчество и веселье.</p>",,6931,,kg-ru,draft
2771,"Расстраивается, когда родитель выходит из комнаты, и успокаивается, когда он возвращается.","<p>Расстраивается, когда родитель выходит из комнаты, и успокаивается, когда он возвращается. Он проявляет признаки беспокойства или начинает плакать, когда родитель выходит из комнаты. Малыш счастлив, когда родитель или близкие люди возвращаются к нему обратно. </p>",,6506,,kg-ru,draft
2776,"Реагирует, когда слышит собственное имя.","<p>Она реагирует, когда слышит собственное имя. Она начинает узнавать свое имя, когда ее кто-то зовет.</p>",,6446,,kg-ru,draft
2781,"Легче разлучается с родителями","<p>Реакция на разлуку менее напряженная, она быстрее успокаивается и учится полагаться на других взрослых, которые находятся рядом, когда родители уходят.</p>",,6796,,kg-ru,draft
2786,"Начинает понимать значение слова «нет».","<p>Начинает понимать значение слова «нет»».  Когда он слышит это слово, то прекращает действовать и признает неодобрение.</p>",,6476,,kg-ru,draft
2791,"Лепечет, произносит слоги и издает много разных звуков","<p>Лепечет, произносит слоги и издает много разных звуков. Она использует несколько сочетаний звуков и пар разных согласных и гласных, пытается повторять или имитировать звуки, которые произносят взрослые.</p>",,6451,,kg-ru,draft
2796,"Может подниматься и спускаться по лестнице","<p>Может подниматься и спускаться по лестнице с опорой. Может подниматься по лестнице или спускаться по ней с небольшой помощью.</p>",,6626,,kg-ru,draft
2801,"Для общения начинает использовать движения.","<p>Начинает общаться с помощью движений. Он общается невербально, т.е. указывает рукой на желаемые предметы или качает головой из стороны в сторону в знак отказа «нет».</p>",,6481,,kg-ru,draft
2806,"Следит за падающим предметом и ищет спрятанную вещь","<p>Следит за падающим предметом и ищет спрятанную вещь. Если вещь спрятана под чашкой или одеялом, то малышка пытается обнаружить ее. Когда предмет падает или мама бросает его, то она ищет, брошенный предмет глазами.</p>",,6496,,kg-ru,draft
2811,"Может стоять на носочках, бегать, прыгать и пинать мяч","<p>Может стоять на носочках, бегать, прыгать, пинать мяч и перебрасывать его через голову.</p>",,6646,,kg-ru,draft
2816,"Одну руку использует чаще, чем другую","<p>Начинает пользоваться одной рукой чаще - левой или правой.</p>",,6666,,kg-ru,draft
2821,"Самостоятельно рисует каракули на бумаге","<p>Он умеет держать карандаш в руке и черкать каракули, рисовать или копировать линии и круги.</p>",,6661,,kg-ru,draft
2826,"По-прежнему кладет предметы в рот","<p>Он по-прежнему кладет предметы в рот. Малыш исследует предметы, кладя их в рот. </p>",,6456,,kg-ru,draft
2831,"Начинает сортировать и сравнивать вещи друг с другом","<p>Она может объединять схожие предметы по категориям, например, животное с животным, носок с носком.</p>",,,,kg-ru,draft
2836,"Плавно перекладывает предметы из одной руки в руку, трясет ими.","<p>Плавно перекладывает предметы из одной руки в руку, трясет ими. Она манипулирует предметами, перемещая их слева направо и наоборот.</p>",,6501,,kg-ru,draft
2841,"Подбирает мелкие предметы","<p>Подбирает мелкие предметы пальчиками. Малыш берет их большим и указательным пальчиками. Для того чтобы удерживать предметы, он по-прежнему использует всю поверхность пальца, а не только кончики пальцев.</p>",,,,kg-ru,draft
2846,"Использует игрушки в играх по их назначению","<p>Может играть с игрушками, знает, для чего они и как их использовать в игре.</p>",,6656,,kg-ru,draft
2851,"Может сидеть самостоятельно без поддержки","<p>Может самостоятельно сидеть без дополнительной поддержки и помощи. Самостоятельно принимает положение сидя. </p>",,6466,,kg-ru,draft
2856,"Приподнимается, чтобы принять позу для ползания на четвереньках. Некоторые дети уже ползают.","<p>Приподнимается, чтобы принять позу для ползания на четвереньках. Некоторые дети уже ползают. Он может самостоятельно ползать. Он движется ползком вперед или назад.</p>",,6486,,kg-ru,draft
2861,"Играет в простые &quot;ролевые&quot; игры","<p>Играет в простые «ролевые игры», например, как будто кормит куклу или  ест торт.</p>",,"6631, 3651, 4786",,kg-ru,draft
2866,"Отталкивается, пытаясь встать.","<p>Пытаясь встать, отталкивается. Она пытается подняться, держась за мебель, но нуждается в помощи и поддержке.</p>",,"4531, 6471",,kg-ru,draft
2871,"Показывает, что стесняется и нервничает при общении с незнакомыми людьми.","<p>В присутствии незнакомцев он ведет себя иначе, чем с людьми, которых хорошо знает. Ребенок начинает стесняться людей, которых не знает (избегает зрительного контакта, цепляется за близких).</p>",,6526,,kg-ru,draft
2876,"При общении с ребенком, люди, которые не находятся с ним каждый день, понимают его частично.","<p>Он начинает более четко произносить звуки и использует все больше и больше слов со смыслом, поэтому общаться становится проще.</p>",,,,kg-ru,draft
2881,"Знает животных и их голоса","<p>Представляет животное по его голосу.</p>",,6616,,kg-ru,draft
2886,"Плачет, когда разлучается с родителями","<p>Показывает признаки выраженного беспокойства сразу после разлуки с родителями.</p>",,,,kg-ru,draft
2891,"В общении с людьми использует сочетания слов и жестов.","<p>Произносит предложение, состоящее из 2–4 слов, и говорит о себе от третьего лица: «Мия хочет», «Эмма сидит». </p>",,6621,,kg-ru,draft
2896,"Имеет любимую игрушку","<p>Отдает предпочтение определенной игрушке, ищет ее, носит с собой.</p>",,,,kg-ru,draft
2901,"Спонтанно стремится поделиться интересами и удовольствиями со взрослыми.","<p>Любит ответные игры: «Я даю тебе - ты отдаешь мне», «Я делаю - ты делаешь» и тому подобное.</p>",,6551,,kg-ru,draft
2906,"Узнает свое имя, имена близких людей, названия предметов из окружения, повседневные действия и слово «нет».","<p>Адекватно реагирует на зов его по имени или слово «нет».</p>",,6546,,kg-ru,draft
2911,"Повторяет слоги, некоторые дети уже могут произносить слова, используя их по смыслу","<p>Произносит много различных звукосочетаний, например, мааа, бааа, дааад ... И некоторые из них, зная их значение, использует как первые узнаваемые слова, например, мама, папа ...</p>",,6531,,kg-ru,draft
2916,"Понимает короткие инструкции или указания","<p>Понимает, когда вы говорите ей «принеси мяч» или «отдай маме».</p>",,6541,,kg-ru,draft
2921,"Повторяет и использует жесты","<p>Она может сказать «па-па» для приветствия, качает головой из стороны в сторону в знак отказа «нет», указывает на желаемый предмет.</p>",,"3566, 6521",,kg-ru,draft
2926,"Понимает и следует более чем одной простой инструкции","<p>Может выполнять одно или несколько связанных между собой простых устных указаний, например: «Принеси подушку», «Сядь», «Брось в мусорное ведро» …</p>",,,,kg-ru,draft
2931,"С любопытством разглядывает игрушки: трясет, стучит, бросает, обращает внимание на детали.","<p>Исследует предметы, стучит или ударяет их друг о друга, например, стучит чашкой по столу или ударяет одной игрушкой о другую.</p>",,"3586, 6561",,kg-ru,draft
2936,"Пальчиками  собирает мелкие предметы и кушает.","<p>Обладает лучшим ""пинцетным захватом "" - может манипулировать очень маленькими предметами, захватывая их большим и указательным пальцами.</p>",,"3571, 6536",,kg-ru,draft
2941,"Складывает предметы в коробку и достает их из нее.","<p>Имеет способность более точно манипулировать предметами. Он может складывать небольшие предметы в коробку или баночку и вынимать их оттуда.</p>",,"4761, 6846",,kg-ru,draft
2946,"Играет рядом с другими детьми","<p>Самостоятельно играет рядом с другими детьми, не обязательно присоединяясь к ним. Игру других детей не портит. Может постепенно вовлечь их в свою игру, например, предложив им игрушку.</p>",,"6636, 3601",,kg-ru,draft
2951,"Встает, держась за мебель, и идет вдоль нее.","<p>Она/он может стоять с опорой или даже какое-то время самостоятельно без поддержки. Она/он пытается перемещаться, держась за мебель или за руку взрослого.</p>",,"3346, 6556",,kg-ru,draft
2956,"Подражает поведению взрослых и детей постарше","<p>Подражает взрослым и делает то, что видит у них, например: толкает детскую коляску, читает газету.</p>",,"6641, 3566",,kg-ru,draft
2961,"Помогает при одевании","<p>Участвует, когда вы его одеваете, просовывает руку в рукава и ноги в штанины.</p>",,,,kg-ru,draft
2966,"Становится все более независимым","<p>Иногда сопротивляется просьбам, злится, хочет контролировать других, ссорится, приказывает, оберегает свои вещи.</p>",,4781,,kg-ru,draft
2971,"Может выражать чувства","<p>Может выражать и показывать самые разные чувства: страх, гнев, сострадание, вину, радость.</p>",,"3656, 4731",,kg-ru,draft
2976,"Стоит, передвигается и ходит самостоятельно.","<p>Он может самостоятельно передвигаться в разных направлениях, с разной скоростью или сочетать разные движения (останавливаться и махать).</p>",,"4841, 4771, 6591",,kg-ru,draft
2981,"Понимает и выполняет простые указания","<p>Следует простым инструкциям, изложенным без демонстрации. Может выполнять то, что от него ожидается.</p>",,"6571, 4776",,kg-ru,draft
2986,"Произносит слова, понимая их смысл.","<p>Обращаясь к родителям, она произносит хотя бы одно или несколько отдельных слов.</p>",,6851,,kg-ru,draft
2991,"По-прежнему выражает страх перед незнакомыми людьми и ситуациями","<p>При контакте с незнакомцами выражает страх, ищет знакомого человека или хватается за родителя.</p>",,"3601, 3646, 346",,kg-ru,draft
2996,"Любит играть в ролевые игры","<p>Играет в ""ролевые игры"". Появляется ""подражательная игра"", она делает вид, что пьет чай, кормит куклу и т.д.</p>",,"6576, 2161, 2141, 4786",,kg-ru,draft
3001,"Самостоятельно рисует каракули карандашом или мелками на бумаге","<p>Любит рисовать каракули карандашом на бумаге, пальцем на песке, палкой на грязи или водой на бетоне. </p>",,"3571, 6606",,kg-ru,draft
3006,"Знает как использовать предметы повседневного обихода","<p>Демонстрирует знание использования таких предметов, как ложка, зубная щетка, телефон.</p>",,"3991, 6601",,kg-ru,draft
3011,"Помещает один предмет в другой","<p>Складывает вещи в миску или чашку и вынимает их из нее. </p>",,"2116, 1986, 6586",,kg-ru,draft
3016,"Для лучшего взаимопонимания при общении использует жесты.","<p>Он пытается воспроизводить жесты и повторять слова взрослых. В ответ на обращение адекватно использует жесты: «до свидания» или «нет».</p>",,"6596, 4776",,kg-ru,draft
3021,"Ждет с нетерпением совместной деятельности","<p>Она подражает мимике, жестам и некоторым действиям близких людей, показывает указательным пальцем на то, что ее интересует, или предлагает другим людям предметы, чтобы заинтересовать их и вовлечь в игру.</p>",,"3646, 6581",,kg-ru,draft
5861,"Больше интересуется книгами","<p>Интересуется книжками с картинками, может самостоятельно перелистывать страницы книжки в твердом переплете.</p>",,6806,,kg-ru,draft
6971,"Проявляет интерес к игре с другими детьми и взрослыми.","<p>Ищет тех, с кем можно поиграть, умеет участвовать в игре и учится во время игры у других детей и взрослых.</p>",,,,kg-ru,draft
6976,"Любит угождать другим и сотрудничать","<p>Признает чувства других, часто любит делиться с другими, может соблюдать очередь. </p>",,,,kg-ru,draft
6981,"Пользуется предложениями, состоящими от 4 до 5 слов","<p>Составляет предложения, подбирая слова так, чтобы они имели смысл, и передавали ее / его идеи.</p>",,,,kg-ru,draft
6986,"Понимает значение чисел 2 и 3","<p>По просьбе может выбрать два или три предмета (игрушки, ложки и т.д.) Или посмотреть на группу предметов и сказать, что их два или три.</p>",,,,kg-ru,draft
6991,"Понимает понятия «похожие» или «одинаковые» и «разные» и может группировать предметы разными способами (например, по цвету или размеру).","<p>Например, ребенок может рассказывать о животных, которые имеют мех и тех, у кого перья; ребенок, рассматривая книгу может указать на одну вещь, которая отличается от других (например, единственный мальчик, держащий мяч).</p>",,,,kg-ru,draft
6996,"Знает основные различия между реальными, придуманными и воображаемыми вещами.","<p>Придумывает историю о несуществующем персонаже или знает, что животные не могут разговаривать в реальной жизни.</p>",,,,kg-ru,draft
7001,"Рассказывает о событиях, которые происходят в ее / его жизни","<p>Может рассказать о дне рождения, который прошел на прошлой неделе, или описать поездку с семьей.</p>",,,,kg-ru,draft
7006,"Поет песни или рассказывает сказки, которые выучил наизусть","<p>Рассуждает о сказке или песне, которую слышал в прошлом, и пытается запомнить слова.</p>",,,,kg-ru,draft
7011,"Может написать некоторые буквы алфавита или же после показа ей/ему другого изображения, может попытаться копировать его.","<p>Глядя на буквы или изображения предметов пытается срисовать их, нарисовать, даже если они могут выглядеть неточно.</p>",,,,kg-ru,draft
7016,"Владеет пальцами и руками более точнее","<p>Обладает хорошими навыками пользования ножницами; строит башни (например, из 8 и более больших блоков). </p>",,,,kg-ru,draft
7021,"Играет в игры с простыми правилами","<p>Соблюдает простые правила игры, ждет своей очереди. </p>",,,,kg-ru,draft
7026,"Легко и умело ходит, бегает, прыгает, бросает и отбивает большие и маленькие мячи.","<p>Умело владеет телом (например, при наличии - катается на самокате или велосипеде, на роликовых коньках и т.д.).</p>",,,,kg-ru,draft
7031,"Более умело управляет телом во многих видах деятельности","<p>Стоит на одной ноге, прыгает, качается, лазает. Если есть возможность, ездит на велосипеде или самокате и умело управляет мячом, используя только свои руки и ноги.</p>",,,,kg-ru,draft
7036,"Точно изображает человеческое тело и простые фигуры","<p>Рисует человеческую фигуру с ее видимыми частями; умеет рисовать круг, треугольник и другие геометрические фигуры. </p>",,,,kg-ru,draft
7041,"Строит предложения из пяти или более слов; в разговоре использует слова, чтобы сказать о будущем.","<p>Объединяет слова в предложения, чтобы выразить свои идеи; может сказать, что «будет» или «может» случиться в будущем.</p>",,,,kg-ru,draft
7046,"Может рассказать историю или пересказать часть истории","<p>По предложению взрослого может самостоятельно пересказать основные идеи сказки или любимую часть рассказа.</p>",,,,kg-ru,draft
7051,"Может назвать свое имя и адрес","<p>Если спросят, то может рассказать основную информацию о себе. </p>",,,,kg-ru,draft
7056,"Может считать до десяти и без ошибок посчитать десять предметов","<p>Может также называть порядковые числительные «первый, второй» до 10, считать дни недели и месяцы.</p>",,,,kg-ru,draft
7061,"Правильно называет не менее четырех цветов","<p>Распознает цвета, такие как фиолетовый и оранжевый, а не только красный, желтый, синий.</p>",,,,kg-ru,draft
7066,"Понимает такие временные понятия, как &quot;до&quot; и &quot;после&quot;","<p>Объясняет, что произошло до и после события; может распределить времена года по порядку (например, лето после весны). </p>",,,,kg-ru,draft
7071,"Может объяснить, как используются предметы повседневного пользования","<p>Объясняет, как в повседневной жизни используются такие вещи, как телефон или деньги.</p>",,,,kg-ru,draft
7076,"Предпочитает принимать участие в творческих видах деятельности","<p>Принимает участие в таких творческих видах деятельности, как пение и танцы, рисование, лепка из глины или других материалов и другие творческие занятия.</p>",,,,kg-ru,draft
7081,"Использует навыки для самостоятельного участия в повседневных делах и общественной деятельности","<p>Может самостоятельно одеваться и раздеваться, пользуется ложкой и вилкой, самостоятельно пользуется туалетом и моет руки. Может расстаться с родителями и участвовать в самостоятельной общественной деятельности. </p>",,,,kg-ru,draft
7086,"Ловок в разных видах деятельности, требующих высоких физических навыков.","<p>Умеет стоять на одной ноге, точно ударяет по мячу, попадает мячом в цель и т. д. </p>",,,,kg-ru,draft
7091,"Умеет создавать сложные фигуры, буквы и подробные рисунки.","<p>Может добавить реалистичные детали в рисунок, создает более сложные картинки, умело использует материалы для рисования и раскрашивания, если есть возможность. </p>",,,,kg-ru,draft
7096,"Говорит сложными предложениями","<p>Предложения становятся все более сложными. Например, ребенок правильно использует настоящее, прошедшее и будущее времена.</p>",,,,kg-ru,draft
7101,"Знает буквы алфавита и владеет некоторыми навыками чтения","<p>Может распознавать большинство букв алфавита и читать простые повседневные слова и слоги, такие как магазин, книга, ма-ма, па-па и т.д. </p>",,,,kg-ru,draft
7106,"Пересказывает историю полностью","<p>Ребенку удается совершенно самостоятельно и точно пересказать сюжет определенного рассказа, правильно расположив события в хронологическом порядке, событие, в котором она/он участвовал, или телешоу.</p>",,,,kg-ru,draft
7111,"Она/он знает свое имя и фамилию, возраст и домашний адрес","<p>Он / она знает основную информацию о себе и когда спрашивают, может назвать их.</p>",,,,kg-ru,draft
7116,"Понимает, что происходит в разное время суток и как течет время","<p>Понимает течение времени, понимает, что происходит утром, в полдень и вечером, может спланировать некоторые действия.</p>",,,,kg-ru,draft
7121,"Соблюдает правила игры и иногда имеет идеи для новых правил.","<p>Он / она понимает установленные правила (например, Правила игры), но иногда он / она хочет добавить что-то новое, другое. </p>",,,,kg-ru,draft
7126,"Показывает признаки принятия на себя ответственности","<p>Например, он / она начинает заботиться о своих вещах.</p>",,,,kg-ru,draft
7131,"Демонстрирует понимание разницы между реальным и подражанием или вымышленным","<p>Он / она только с своем воображении придумывает истории, события, персонажей, художественно представляя, описывает и приписывает им свойства, которые не являются реалистичными. Делая это, он / она получает удовольствие, осознавая, что в мире воображения возможно все. </p>",,,,kg-ru,draft
7136,"Понимает идеи и потребности других людей","<p>Вот почему он / она уделяет больше внимания тому, что хотят или предлагают другие, и хочет встречаться с ними - он / она больше сотрудничает с друзьями и совершает работу в команде.</p>",,,,kg-ru,draft
