ID,Title,Body,Child_age,Child_gender,Parent_gender,Keywords,Mandatory_content,Translation_language,Moderation_state
151,Can men experience antenatal and postnatal depression?,"<p>Yes, men can experience antenatal and postnatal depression. Signs of antenatal and postnatal depression include physical, emotional, thinking and behaviour changes that last longer than two weeks.</p>

<p>Pregnancy is a <strong>powerful and life-changing experience for women and men</strong>. It can stir up some strong, deep and unexpected emotions and issues. As a man, there might be days during your partner’s pregnancy when you feel flat, down or irritable. These kinds of changes are normal.</p>

<p>But <strong>emotional changes that last longer than two weeks and get in the way of your daily life</strong> could be depression. Depression during pregnancy is called antenatal depression. Depression after birth is postnatal depression.</p>

<p><strong>Up to one in 10 men experiences antenatal or postnatal depression.</strong></p>",43,59,37,"depression, men",,en,draft
156,How often should I breastfeed my newborn?,"<p>During the first week of life of your baby, breastfeed will be when he/she is hungry. Usually, it is every 1,5 hours to 3 hours. While days pass, newborns will breastfeed less often and will start to develop a more predictable schedule. Some babies can feed very often, while others can do it less. Normally, during the first month of life, babies should breastfeed 8 to 12 times per day. Frequent feedings help stimulate mothers production of milk during the firsts weeks. After the first month your baby will breastfeed less often, normally will be 7 to 9 times per day.</p>",,,,"newborn, breastfeeding, breastfeeding frequency, newborns",,en,published
161,What is corrected age?,"<p>Corrected age, or adjusted age, is your premature baby’s <strong>chronological age minus the number of weeks or months he was born early</strong>. For example, a one-year-old who was born three months early would have a corrected age of nine months.</p>

<p>Corrected age can be helpful if you’re trying to work out whether your premature baby’s development is tracking in a typical way. For example, if someone notices that your child is six months old but not sitting up yet, you could explain that she was born three months early. If you look at her corrected age, she’s really only three months old and she’s doing everything a three-month-old usually does.</p>

<p>Corrected age is especially relevant during your child’s early years, because it might explain things that look like lags in development in these years.</p>",46,,,"corrected age, adjusted age, premature baby, newborn",,en,published
186,Test - Pitanje - dužine do 200 karaktera,<p>Odgovor na pitanje - bez ikakvih formatiranja i dužine do 1000 karaktera.</p>,43,40,38,"breastfeeding positions, breastfeeding, newborn",,en,draft
3746,Should breasts be washed before breastfeeding- COVID-19?,"<p>If a mother is confirmed/suspected to have COVID-19 has just coughed over her exposed breast or chest, then she should gently wash the breast with soap and warm water for at least 20 seconds prior to feeding. It is not necessary to wash the breast before every breastfeed or prior to expressing milk.  </p>",50,,,"suspected COVID-19, confirmed COVID-19, Breast feeding, washing breasts",,en,published
3751,Infant formula if mother is confirmed/suspected to have COVID-19?,"<p>No. There are always risks associated with giving infant formula milk to newborns and infants in all settings. The risks associated with giving infant formula milk are increased whenever home and community conditions are compromised e.g. reduced access to health services if a baby becomes unwell / reduced access to clean water / access to supplies of infant formula milk are difficult or not guaranteed, not affordable and not sustainable. The numerous benefits of breastfeeding substantially outweigh the potential risks of transmission and illness associated with the COVID-19 virus. </p>",50,,,"suspected COVID-19, confirmed COVID-19, Breast feeding, infant formula, safe, safety",,en,published
3756,‘Top-up’ with infant formula if mother is confirmed with COVID-19?,"<p>No. If a mother is confirmed/suspected to have COVID-19 and is breastfeeding, there is no need to provide a ‘top-up’ with an infant formula milk. Giving a ‘top-up’ will reduce the amount of milk produced by a mother. Mothers who breastfeed should be supported to optimize positioning and attachment to ensure adequate milk production. Mothers should respond to infants’ hunger and breastfeed on demand. </p>",50,,,"suspected COVID-19, confirmed COVID-19, Breast feeding, infant formula",,en,published
3821,How long is it recommended to breastfeed a baby?,"<p>By the age of six months, breast milk is the only food and drink that are needed. You can continue breastfeeding after the introduction of non-dairy food, until the end of the first year and during the second year.</p>",50,59,60,,,en,draft
3826,What are the three most important reflexes in a baby for breastfeeding?,"<p>The baby is born with the three most important reflexes for breastfeeding: the search reflex (rooting reflex) — if you touch the baby's cheek, it will turn in the direction of the stimulus and open his mouth, ready to suck; sucking reflex — if you put something in the baby's mouth, it immediately activates the tongue, creates a vacuum, starts sucking. Swallowing reflex — during sucking, the baby harmonizes sucking, swallowing and breathing.</p>",46,,,,,en,draft
3831,Does breastfeeding hurt?,"<p>Breastfeeding should not hurt. If you feel pain, separate the baby from the breast and try again. When the baby takes the correct position on the breast, the pain and discomfort stop, pain may be short-lived due to increased initial breast tenderness.</p>",48,,,,,en,draft
3836,What is the best position for breastfeeding?,"<p>The best position for breastfeeding is the position in which you and the baby feel comfortable. In the beginning, follow the recommendations for placing the baby on the breast until you and the baby get used to it and become a team.</p>",50,,,,,en,draft
3841,What is colostrum?,<p>Breast milk is created in the first 5 days of breastfeeding a baby and makes an ideal combination of nutrients and protective factors for your baby.</p>,43,59,60,,,en,draft
3846,Is there milk in my breast when the baby is born?,"<p>Yes, colostrum begins to be produced between the 16th and 22nd week of pregnancy. Many mothers are not aware that they have milk in their breasts because it does not leak, and it isn't easy to get it by milking.</p>",50,59,60,,,en,draft
3851,When will I get milk after giving birth?,<p>The amount of milk normally increases 30-40 hours after birth. Nature has arranged so that the amount of milk is sufficient for the needs of your baby.</p>,50,59,60,,,en,draft
3856,What should I do if there is no milk yet after 3 or 4 days after giving birth?,"<p>The baby should suckle as often as possible, and you should empty the breasts regularly and completely after breastfeeding. Skin-to-skin contact can help increase milk production. The child's weight is monitored to see if he is losing weight. If the beginning is difficult, remember that many mothers have managed to slowly increase milk production to the full amount needed by the child during one or two weeks, and some even after several weeks.</p>",50,59,60,,,en,draft
3861,How many times does a newborn suckle in 24 hours?,"<p>8-12 times in 24 hours, or every 2-3 hours. Follow the baby's signals, let her suck when she shows that she is hungry, don't wait for the baby to start crying.</p>",50,59,60,,,en,draft
3866,How is the time between two breastfeedings calculated?,<p>It is calculated from the beginning of one to the beginning of the next feeding.</p>,50,59,60,,,en,draft
3871,Should I transfer the baby to another breast after 15 minutes?,"<p>The ""15-minute rule"" no longer applies. Now that we know that there are a so-called front and back milk, we understand that the baby, if it sucks too short, will only get the first watery milk and will be deprived of the extra fat and calories that arrive at the end. Let the baby suck on one breast until it stops on its own, then give the other.</p>",50,59,60,,,en,draft
3876,How long should one breastfeed last?,"<p>It depends on the baby, on weight, age. Some babies suck slowly and for a long time, while others are stronger, and breastfeeding lasts shorter; the range is 10 to 60 minutes.</p>",50,59,60,,,en,draft
3881,How much should my baby gain optimally in weight per week?,"<p>In the first months, 150-240 g per week.</p>",50,59,60,,,en,draft
3886,What are the signs that my baby may not be getting enough milk?,"<p>Your baby is restless after breastfeeding him/her, wakes up quickly, wants to suck more often and longer, has less than 5 wet and 2 soiled diapers, does not gain weight.</p>",50,59,60,,,en,draft
3891,Does a green stool mean the baby is hungry?,"<p>That does not mean! In the first days, the baby throws out his first stool - meconium, which is dark green. If you do not change the baby immediately, the stool may become greenish in contact with the air. If the baby is fed a milk formula, the stool also changes colour to brown or greenish. ""Hunger chairs"" are sparse, slimy, like toadstools, and the baby shows other signs that she/he is hungry.</p>",50,59,60,,,en,draft
3896,Does the taste of my milk change?,"<p>The taste of your milk changes depending on the food you eat, so the baby gets used to the food the family eats and will accept it easier when it comes time to introduce solid foods.</p>",50,59,60,,,en,draft
3901,Does the baby need to be given water if he sucks?,<p>Your milk is exactly as it should be to meet all the baby's needs. Water is not needed except in two situations: when the baby is sick or the outside temperature is higher than 40 degrees.</p>,50,59,60,,,en,draft
3906,How do I give skimmed milk to my baby?,"<p> </p>

<p>You can give skim milk to your baby with a spoon, a cup or a syringe. Bottle feeding can help your baby stop sucking.</p>",50,59,60,,,en,draft
3911,How is skimmed milk stored?,"<p>At room temperature of 18-24 degrees 3-4 hours; in the refrigerator from 24 to 72 hours (put the bowl with milk in the coldest part of the refrigerator, not in the door); in the freezer for 3-4 months.</p>",50,59,60,,,en,draft
3916,"What problems can occur during breastfeeding, can they be eliminated?","<p> </p>

<p>Painful and cracked nipples, full breasts, clogged milk ducts, blistering, mastitis, jelly, flat or indented nipples.</p>",50,59,60,,,en,draft
3921,Do other women have a problem with breastfeeding?,"<p>Breastfeeding is a skill that is learned. Sometimes, it will take time to master the correct position and technique of breastfeeding and learn to interpret the baby's signals to teach you and your baby to function as a team. It takes patience, sometimes help from others. It is important not to give up if things do not work perfectly from the beginning.   </p>",50,59,60,,,en,draft
3926,My nipples are straight. Will I be able to breastfeed?,"<p>Based on the appearance of the nipple, it is not possible to assess how breastfeeding will work. It is important that you and your baby master the proper breastfeeding technique. Sometimes silicone nipples can help.</p>",50,59,60,,,en,draft
3931,Which care product do you recommend for the nipples?,"<p>The best nipple care product is your milk; after breastfeeding, apply a few drops of milk to the nipples and expose them to air whenever you can.</p>",50,59,60,,,en,draft
3936,What is a blister?,"<p>Milky blisters (white or yellow) — represents a clogged opening of the milk duct on the nipple.</p>

<p>It is formed on the nipple when the baby, due to improper position, badly grasps the breast and strongly squeezes the tip of the nipple. Blisters are not painful, and after a while, they crack and empty. It is often enough to put on a warm damp compress to make the blister soften before the position.</p>",50,59,60,,,en,draft
3941,Who can I contact for help with breastfeeding?,"<p>To the telephone counselling centre of your country, to the patronage nurse and the chosen paediatrician.</p>",50,59,60,,,en,draft
3946,I only breastfed my first child for a month. Will I succeed now with the second child?,"<p>Now that you have more knowledge and experience look back and think about what “step mistakes” you made the first time. The reasons for premature cessation of breastfeeding can usually be either prevented or eliminated in time. Each mom-baby pair works in their specific way, follow your baby's signals and ask for help if you think you need it.</p>",50,59,60,,,en,draft
3951,"My mother didn&#039;t breastfeed, will I succeed?","<p>Your mother’s experience has no significance of predisposition for your breastfeeding success. You may have an inherited breast structure, but breastfeeding alone results from a series of circumstances that represent an individual experience.</p>",50,59,60,,,en,draft
3956,I have silicone implants. Will I be able to breastfeed?,"<p>Silicone implants are not an obstacle to breastfeeding if the mother has the will and desire. Implants are placed under the glandular tissue, and the breast's function during breastfeeding is not impaired.</p>",50,59,60,,,en,draft
3961,Do I need to prepare the nipples for breastfeeding to harden them?,<p>Do not rub the nipples with a rough towel or pull them out too much. The nipple forms during breastfeeding; it is important to properly position the baby and accept the nipple properly.</p>,50,59,60,,,en,draft
3966,How to prepare breasts for breastfeeding?,<p>Physical preparation of the breast is not necessary; pregnancy prepares the breast for breastfeeding. Find out as much as you can about the importance of breast milk for your health and your baby's health and about the first steps after childbirth that will contribute to the success of breastfeeding.</p>,50,59,60,,,en,draft
3971,How do I maintain personal hygiene?,<p>Showering without too much soap. Do not put alcohol on the nipples. The nipple and areola have their own microflora that should not be disturbed.</p>,50,59,60,,,en,draft
3976,Will my breasts change and relax after breastfeeding?,"<p>During pregnancy and after breastfeeding, breasts grow up to 46% of their size before pregnancy. The nipple and areola become more pigmented. Breastfeeding does not change breasts but the pregnancy itself.</p>",50,59,60,,,en,draft
4411,"My breast is hard and tense, my temperature is elevated. What should I do?","<p>Intensively empty the breasts, put on cold compresses after emptying and after regular breastfeeding. If the temperature drops during the next hours, it means it was a milk stagnation or initial mastitis, so the problem is solved.</p>",48,59,38,,,en,draft
4416,Can I continue breastfeeding if I have mastitis and fever?,<p>The most important thing during mastitis is to continue breastfeeding! No one can empty the breast like a baby. Sometimes milk can change its taste due to the inflammatory process in the breast (it becomes saltier).</p>,48,59,38,,,en,draft
4421,"When mastitis is suspected, when should I see a doctor?","<p>If the breast is hard and swollen in addition to regular emptying, and the skin above the change is red or blue, or the fever persists, contact a doctor. You probably need an antibiotic, and sometimes you need to use ultrasound to check that no abscess is forming.</p>",48,59,38,,,en,draft
4426,"Can I breastfeed while taking an antibiotic, or am I taking medication for a fever?","<p>Your doctor will prescribe an antibiotic that you can continue breastfeeding with whenever possible; one or two tablets of paracetamol or ibuprofen cannot harm the child, and it will help you.</p>",48,59,38,,,en,draft
4431,An ultrasound confirmed that I had a breast abscess and drainage was advised. Does that mean I have to stop breastfeeding?,"<p>That does not mean! During the treatment of mastitis, you will continue to breastfeed on a healthy breast. The cessation of breastfeeding on the affected breast will be only short-lived until the abscess is drained.</p>",48,59,38,,,en,draft
4436,Can mastitis recur?,"<p>It is uncommon for mastitis to recur; if the same region is affected again, an abscess is more likely to occur.</p>",48,59,38,"mastitis, mammary glands",,en,draft
5556,Is it safe to vaccinate children during the COVID-19 pandemic?,"<p>WHO recommends that all routine vaccinations be administered as scheduled, even during the COVID-19 pandemic. There is currently no evidence that the COVID-19 pandemic poses any specific risk linked to vaccination. Evidence for other infectious diseases is therefore applied. This evidence suggests that potential contact with an infectious disease is not a contraindication for routine immunization. Routine immunization sessions should continue to the extent possible and as permitted within the local COVID-19 response context. However, standard infection prevention measures should be in place to minimize the risk of COVID-19 transmission to all staff and visitors to the health facility.</p>

<p>It is especially important that children receive all the vaccines scheduled at birth and in the first two years of life. These vaccines may vary according to national recommendations. Any interrupted immunization services for any age groups should be resumed and catch-up vaccinations offered as quickly as possible. Timely vaccination is key to protect young and old from serious and life-threatening infectious diseases, and to avoid the accumulation of unvaccinated groups and potential loss of community immunity.</p>",,,,"vaccination, COVID-19, immunisation, vaccines, delaying vaccines",,en,published
5561,Does vaccination increase a child’s risk of becoming infected with COVID-19 or of developing the disease?,"<p>COVID-19 is a new disease for which information is still being gathered. However, based on experience with other infectious diseases, vaccination against one disease does not weaken a person’s immune response to another disease. There is currently no evidence that vaccination would increase the risk of a child becoming infected with COVID-19 or affect the course of the disease in a child who has been inadvertently vaccinated during the asymptomatic phase or incubation period.</p>

<p>Furthermore, continuing routine vaccination of children during the COVID-19 pandemic will protect them from vaccine-preventable diseases (VPD). Ensuring that the immunization sessions are conducted in a facility with adequate infection prevention measures will minimize any potential risk of children getting COVID-19.</p>",,,,"vaccination, delaying vaccines, immunization, COVID-19",,en,published
5566,Why is vaccination particularly important during the COVID-19 pandemic?,"<p>Any disruption of immunization services, even for short periods, would leave a community and especially children at immediate risk of VPDs.  By adding to the number of susceptible individuals already present in a community, this would put community protection at risk and increase the likelihood of VPD outbreaks. Such outbreaks may result in VPD-related illnesses and deaths and an increased burden on health-care systems already strained by the response to the COVID-19 outbreak.</p>",,,,"vaccines, vaccination, delaying vaccines, immunization, immunisation",,en,published
5571,Is it dangerous to vaccinate a child during the incubation period of COVID-19?,"<p>There is currently no specific evidence regarding COVID-19 and vaccination, and general principles of vaccination of patients with infectious diseases should be applied. According to these principles, vaccination will not influence the course of infectious disease in a child who might already be infected but who is not yet symptomatic at the time of vaccination, or a child who becomes infected soon after vaccination. Neither will the child’s potential infection influence the safety or efficacy of the vaccine that is administered.</p>",,,,"vaccination, vaccines, delaying vaccines, immunisation, immunization, suspected COVID-19",,en,published
5576,Is COVID-19 a contraindication for vaccination?,"<p>Mild symptoms such as fever and/or cough are not necessarily a contraindication for vaccination. In line with normal procedures, the health-care provider should make recommendations based on a risk–benefit assessment (severity of symptoms and risk and severity of VPDs). If the practitioner decides against vaccination on that day, the normal vaccination schedule for the child should be resumed as soon as possible after he or she recovers.</p>

<p>It is important that anyone who has tested positive for COVID-19 remains isolated in line with national recommendations to ensure that they do not infect others and contribute to further spread of the virus.</p>",,,,"delaying vaccines, vaccination, vaccines, immunization, immunisation, suspected COVID-19",,en,published
5581,How many days after a negative COVID-19 test can vaccines be administered?,"<p>At the moment, there is no specific evidence of a potential impact of COVID-19 on vaccination response or vice versa. Systematic COVID-19 testing before routine vaccination is not currently required or recommended. Any patient with a negative COVID-19 test can be vaccinated at any time if their clinical condition allows.</p>",,,,"vaccination, vaccines, delaying vaccines, immunization, immunisation, COVID-19",,en,published
5586,How many days after a negative COVID-19 test can the tuberculin test be administered?,<p>There is no known interference between the COVID-19 test or COVID-19 and the tuberculin test.</p>,,,,"COVID-19, suspected COVID-19",,en,published
5591,Does the BCG vaccine protect against COVID-19?,"<p>In addition to preventing tuberculosis infection, the bacille Calmette–Guérin (BCG) vaccine has beneficial effects on the immune system that protect against a wide range of other infections, and the vaccine is used routinely to treat bladder cancer. Two clinical trials are underway to look at whether the BCG vaccine could have a role in protecting health-care workers and other vulnerable individuals against severe COVID-19, but so far there is no evidence that the BCG vaccine protects people against infection with the novel coronavirus. WHO therefore does not recommend BCG vaccination for the prevention of COVID-19. WHO continues to recommend neonatal BCG vaccination in countries or settings with a high incidence of tuberculosis.</p>",,,,"vaccines, vaccination, BCG vaccine, tuberculosis",,en,published
5941,Why do white spots appear on my newborn baby&#039;s face?,"<p>A very common and normal occurrence in newborns is red or white pimples on the face. Miles, pus, grizzlies, popularly known as ""skin cleansing"", <strong>appear spontaneously, but they can intensify if the baby is hot</strong>. Regular washing of the baby, use of neutral soaps (when bathing), light (hydrating) creams can help in the care of this kind of skin. Treat your skin as sensitive and avoid using greasy face creams.</p>",44,59,60,"milia on the skin, white spots on the skin",,en,draft
5946,What if the baby doesn&#039;t like to bath?,"<p>The baby spends 9 months in the water in the mother's womb, and it is a rare occurrence that the baby does not like to bathe. If the baby was hungry during the bath or had hot/cold water, there is a possibility that he was ""scared"" of bathing, some sudden, unbalanced movements or was just sleepy.</p>

<p>Choose a bathing moment that suits both you and your baby. If you are tired, nervous, have obligations, hurry to postpone swimming for a more favourable moment. Plan to bath the baby between two breastfeeds (not when she is hungry). When you wrap the baby, massage it, talk, lightly ""tickle"" to make the baby relax. Do not abruptly lower it into the tub, but slowly lower it into the water through the baby's feet. Check the water temperature several times. Be patient, in a good mood, let swimming be a pleasure for the whole family.</p>",48,59,60,"Bath, skin care, hygiene",,en,draft
5951,Can I apply diaper cream to my baby&#039;s entire skin?,"<p>Diaper creams have a protective function and are generally oilier than other creams. They protect the delicate skin of the baby's genitals from the effects of stool and urine. The skin does not absorb them completely but remains as a ""coating"" on the surface. Apart from the genital region, the rest of the baby's body does not need this type of protection, so there is no need to apply diaper cream on the face, body, underarms or neck.</p>",50,59,60,,,en,draft
5956,Is it necessary for a baby to blow dry his hair after bathing?,"<p>Babies are born with very little hair and their hair is soft, sparse and fluffy. Even though the baby has thick hair at birth, it is soft and thin. It is enough to rub your hair with a towel after bathing, then brush it well with a baby brush and the hair will be dry. There is no need to use a hair dryer.</p>",45,,,"Bath, care, head care",,en,draft
5961,"How to wash the baby&#039;s neck, chest and stomach, when bathing the baby over your arm?","<p>There is no need to additionally wash breasts and stomach of newborn babies. Water flows over the baby and is rinsing those parts as well. In addition to the fact that it is mandatory to wipe the baby's neck every day, as well as other skin creases, when bathing, gently wash the skin creases on the neck with your index finger and remove impurities.</p>

<p> </p>",43,59,60,bathing over the arm,,en,draft
5966,How long can a baby take a bath?,"<p>In the first few months, bathing in the tub should last 5 minutes. When the baby starts to sit stably, bathing can last longer (10-15 minutes). With constant adherence to the baby and controlling water temperature, bathing becomes a game and enjoyment for both the baby and the parents.</p>

<blockquote>
<p>Never leave a child, even for a short time, only in the bathtub!</p>
</blockquote>",58,,,bathing in the tub,,en,draft
5971,Does the boy&#039;s penis rise when changing his diaper?,"<p>Disposable diapers have been used for babies for decades, which are anatomically and spatially adapted to the baby's body. They have an extension on the front part, in which there is space for the boy's genitals to fall into their natural position. It is important to take care of the diaper's adequate size in relation to the baby's age and do not lift the penis or put it on the apartment.</p>",58,,,genital care in boys,,en,draft
5976,Does the inside of a girl&#039;s genitals clean?,"<p>You need to maintain complete genital hygiene every day. The part between the big and small lips needs to be cleaned regularly because white deposits can form in that part. Accumulation of the remains of cream, stool, urine, diaper rash can cause infection of the urinary and genital organs. Do not use soaps, baths or any other preparations. It is enough to wipe that part with pads of well-soaked water, always from top to bottom or wash under a stream of warm water when changing. Creams are not applied to the genital mucosa.</p>",58,,,genital care in girls,,en,draft
5981,"If the baby has large nails immediately after birth, should they be cut?","<p>It is common for babies to be born with long nails, but they are soft and brittle and generally peel off immediately.  If they still ""do not shorten"" themselves, you need to cut them with cleaned baby scissors with a blunt tip. Take care of the cheekbones because the cuticle that connects the nail plate and the finger is very thin and barely visible.</p>",43,59,60,"nail care, care",,en,draft
5986,Is the appearance of whitish secretion from the nose normal in a baby?,"<p>Babies often have small amounts of clear secretions in the nose. The role of that secretion is protective. He binds dirt to himself, and so the nose cleans itself. It happens that in babies when vomiting, a small amount of milk comes out on the nose. The milk is ""mixed"" with the transparent secretion in the baby's nose, and the secretion becomes whitish. If a whitish secretion appears in the nose, it is enough to wash the nose with a few physiological solution drops.</p>

<blockquote>
<p>If the baby has a large amount of secretion in the nose that bothers him to eat and breathe normally, or the secretion is yellow, yellow-green, and the baby is raining, coughing, it is necessary to consult with the chosen pediatrician in addition to regular nasal cleansing.</p>
</blockquote>",48,59,60,nail care,,en,draft
5991,The baby has redness on the skin behind one ear. What should we do?,"<p>Often, when feeding a baby, a few drops of milk ""slip"" behind the baby's ear. If the milk is not wiped well or water and moisture remain in that part after bathing, redness occurs, which, if left untreated, progresses until the skin ""cracks"" in the folds. It is necessary to wipe the part behind the ear first with pads soaked in water and then dry thoroughly with dry pads. Apply a thin layer of moisturizer on dry skin. </p>",45,,,"ear care, skin care",,en,draft
5996,How many times in the day can I clean my baby&#039;s eyes?,"<p>If the baby's eyes are “clean” without increased secretion, then it is enough to clean them only in the evening after bathing. If there is a secretion (clear or whitish colour), clean the eye several times with sterile gauze and saline solution. If the secretion persists for several days or the colour of the secretions changes to yellow-green, the eye red, the eyelid swell, the baby can not open the eye from the sticky secretion, seek help from the chosen paediatrician.</p>",45,,,"eye care, eye hygiene",,en,draft
6001,Which antiseptic is best for the navel?,"<p>The umbilical stump can be treated with Povidone-iodine or Octenisept. Depending on which means they used for treatment in the maternity hospital, they should be continued at home. Both antiseptics are good for cleaning the umbilical cord if used properly, but you should not mix or match them.</p>",45,,,,,en,draft
6006,When to seek medical help for diaper rash?,"<p>Take your child to a paediatrician of your choice when:</p>

<ul>
	<li>the rash occurs in a baby younger than 40 days,</li>
	<li>pus and scabs are present with the rash</li>
	<li>the rash spreads outside the diaper region,</li>
	<li>the rash changes color,</li>
	<li>fever occurs along with the rash,</li>
	<li>the condition does not improve even after 2-3 days despite proper care.</li>
</ul>",50,59,60,"Thigh chafing, diaper rash",,en,draft
