ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23020,	Više o rastu 25 - 60 meseca - prekomerna težina i gojaznost,"
Pažnja! Vaše dete ima umereni višak težine za visinu. Ova prekomerna težina može ugroziti njegovo zdravlje i zato razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica - takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite pregled kod pedijatra radi dobijanja dodatnih preporuka i određivanja dinamike praćenja rasta vašeg deteta","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between +2 and +3SD,"3396, 5891, 3366, 3381",1,published,
23021,	Više o rastu u prvih 6 meseci - gojaznost,"Iako prema kartama rasta vaša beba ima prekomernu težinu za dužinu, ishrana isključivo majčinim mlekom izuzetno retko dovodi do prekomerne težine, zahvaljujući bebinoj urođenoj sposobnosti regulacije apetita. Međutim, kod veštačke ishrane (ili dohrane adaptiranim mlekom uz dojenje) uvek je prisutna opasnost od prekomernog dobijanja u težini, jer ova urođena sposobnost regulacije apetita, može biti narušena. Svakako se obratite vašem pedijatru kako biste pratili napredak u težini i obezbedili optimalnu ishranu neophodnu za pravilan rast i razvoj vaše bebe. Sledite savete o broju obroka, odgovarajućoj količini mleka za vašu bebu, učestalosti obroka. Pažljivo pratite uputstva za pravilnu pripremu mlečnog obroka i nemojte nikada uskraćivati hranu u pokušaju da bebi smanjite težinu. ","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,above +3SD,"3401, 3341, 3346, 3376",1,published,
23022,	Više o rastu 7 - 9 meseci - gojaznost,"Hitno! Vaše dete je gojazno, odnosno ima ozbiljan višak težine za visinu. Ova težina može ozbiljno ugroziti zdravlje vašeg deteta. Razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica- takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite posetu kod pedijatra radi pregleda i dodatnog ispitivanja kao i određivanja dinamike daljeg praćenja rasta!",7-9 months,Height for weight,above +3SD,"3406, 3351, 3346, 3376",1,published,
23023,	Više o rastu 10 - 12 meseci - gojaznost,"Hitno! Vaše dete je gojazno, odnosno ima ozbiljan višak težine za visinu. Ova težina može ozbiljno ugroziti zdravlje vašeg deteta. Razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica- takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite posetu kod pedijatra radi pregleda i dodatnog ispitivanja kao i određivanja dinamike daljeg praćenja rasta!",10-12 months,Height for weight,above +3SD,"3411, 3356, 3346, 3376",1,published,
23024,	Više o rastu 13 -24 meseca - gojaznost,"Hitno! Vaše dete je gojazno, odnosno ima ozbiljan višak težine za visinu. Ova težina može ozbiljno ugroziti zdravlje vašeg deteta. Razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica- takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite posetu kod pedijatra radi pregleda i dodatnog ispitivanja kao i određivanja dinamike daljeg praćenja rasta!","13-18 months, 19-24 months",Height for weight,above +3SD,"3391, 3386, 3361, 3381",1,published,
23025,	Više o rastu 25 - 60 meseca - gojaznost,"Hitno! Vaše dete je gojazno, odnosno ima ozbiljan višak težine za visinu. Ova težina može ozbiljno ugroziti zdravlje vašeg deteta. Razmislite šta je tome doprinelo: povećan unos energetski bogatije hrane (kao što su slatke i masne namirnice), unos bezvrednih namirnica- takozvane brze hrane, smanjena fizička aktivnost, produženo vreme boravka u sedećem položaju ili boravak ispred ekrana, promene u najbližem okružrnju i dr. Obavezno zakažite posetu kod pedijatra radi pregleda i dodatnog ispitivanja kao i određivanja dinamike daljeg praćenja rasta!","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,above +3SD,"3396, 5891, 3366, 3381",1,published,
23026,	Više o rastu u prvih 6 meseci - adekvatan rast za uzrast,"Bravo! Vaše dete raste u dužinu/visinu po zacrtanoj liniji ili malo iznad okvira za njegov uzrast i pol. Nastavite da se pridžavate preporuka dobre prakse u ishrani, fizičkoj aktivnosti i spavanju i pratite rast vašeg deteta.","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,between -2SD to +3SD,"3401, 3341, 3346",1,published,
23027,	Više o rastu 7 - 9 meseci - adekvatan rast za uzrast,"Bravo! Vaše dete raste u dužinu/visinu po zacrtanoj liniji ili malo iznad okvira za njegov uzrast i pol. Nastavite da se pridžavate preporuka dobre prakse u ishrani, fizičkoj aktivnosti i spavanju i pratite rast vašeg deteta.",7-9 months,Height for age,between -2SD to +3SD,"3406, 3351, 3346",1,published,
23028,Više o rastu 10 - 12 meseci - adekvatan rast za uzrast,"Bravo! Vaše dete raste u dužinu/visinu po zacrtanoj liniji ili malo iznad okvira za njegov uzrast i pol. Nastavite da se pridžavate preporuka dobre prakse u ishrani, fizičkoj aktivnosti i spavanju i pratite rast vašeg deteta.",10-12 months,Height for age,between -2SD to +3SD,"3411, 3356, 3346",1,published,
23029,Više o rastu 13 -24 meseca - adekvatan rast za uzrast,"Bravo! Vaše dete raste u dužinu/visinu po zacrtanoj liniji ili malo iznad okvira za njegov uzrast i pol. Nastavite da se pridžavate preporuka dobre prakse u ishrani, fizičkoj aktivnosti i spavanju i pratite rast vašeg deteta.","13-18 months, 19-24 months",Height for age,between -2SD to +3SD,"3391, 3386, 3361",1,published,
23030,Više o rastu 25 - 60 meseca - adekvatan rast za uzrast,"Bravo! Vaše dete raste u dužinu/visinu po zacrtanoj liniji ili malo iznad okvira za njegov uzrast i pol. Nastavite da se pridžavate preporuka dobre prakse u ishrani, fizičkoj aktivnosti i spavanju i pratite rast vašeg deteta.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,between -2SD to +3SD,"3396, 5891, 3366 ",1,published,
23031,Više o rastu u prvih 6 meseci - blago zaostajanje u rastu,"Pažnja! Vaše dete sporo raste u dužini/visinu i sada je sa umerenim zaostajanjem u rastu. Razmislite da li je neki od mogućih dugoročnih uzroka tome doprineo: hronično nedovoljna ishrana, hronična bolest, endokrini poremećaj i dr. Obavezno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja dodatnih preporuka i određivanja dinamike daljeg praćenja rasta.","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,below -2SD,"3401, 3341, 3346, 3606",1,published,
23032,Više o rastu 7 - 9 meseci - blago zaostajanje u rastu,"Pažnja! Vaše dete sporo raste u dužini/visinu i sada je sa umerenim zaostajanjem u rastu. Razmislite da li je neki od mogućih dugoročnih uzroka tome doprineo: hronično nedovoljna ishrana, hronična bolest, endokrini poremećaj i dr. Obavezno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja dodatnih preporuka i određivanja dinamike daljeg praćenja rasta.",7-9 months,Height for age,below -2SD,"3406, 3351, 3346, 3606",1,published,
23033,Više o rastu 10 - 12 meseci - blago zaostajanje u rastu,"Pažnja! Vaše dete sporo raste u dužini/visinu i sada je sa umerenim zaostajanjem u rastu. Razmislite da li je neki od mogućih dugoročnih uzroka tome doprineo: hronično nedovoljna ishrana, hronična bolest, endokrini poremećaj i dr. Obavezno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja dodatnih preporuka i određivanja dinamike daljeg praćenja rasta.",10-12 months,Height for age,below -2SD,"3411, 3356, 3346",1,published,
23034,Više o rastu 13 -24 meseca - blago zaostajanje u rastu,"Pažnja! Vaše dete sporo raste u dužini/visinu i sada je sa umerenim zaostajanjem u rastu. Razmislite da li je neki od mogućih dugoročnih uzroka tome doprineo: hronično nedovoljna ishrana, hronična bolest, endokrini poremećaj i dr. Obavezno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja dodatnih preporuka i određivanja dinamike daljeg praćenja rasta.","13-18 months, 19-24 months",Height for age,below -2SD,"3391, 3386, 3361, 3606",1,published,
23035,	Više o rastu 25 - 60 meseca - blago zaostajanje u rastu,"Pažnja! Vaše dete sporo raste u dužini/visinu i sada je sa umerenim zaostajanjem u rastu. Razmislite da li je neki od mogućih dugoročnih uzroka tome doprineo: hronično nedovoljna ishrana, hronična bolest, endokrini poremećaj i dr. Obavezno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja dodatnih preporuka i određivanja dinamike daljeg praćenja rasta.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,below -2SD,"3396, 5891, 3366, 3606",1,published,
23036,	Više o rastu u prvih 6 meseci - ozbiljno zaostajanje u rastu,"Hitno! Rast vašeg deteta u dužinu/visinu ozbiljno zaostaje. Hitno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja odgovarajućeg tretmana i određivanja dinamike daljeg praćenja rasta!","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,below -3SD,"3401, 3341, 3346",1,published,
23037,	Više o rastu 7 - 9 meseci - ozbiljno zaostajanje u rastu,"Hitno! Rast vašeg deteta u dužinu/visinu ozbiljno zaostaje. Hitno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja odgovarajućeg tretmana i određivanja dinamike daljeg praćenja rasta!",7-9 months,Height for age,below -3SD,"3406, 3351, 3346, 3606",1,published,
23038,Više o rastu 10 - 12 meseci - ozbiljno zaostajanje u rastu,"Hitno! Rast vašeg deteta u dužinu/visinu ozbiljno zaostaje. Hitno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja odgovarajućeg tretmana i određivanja dinamike daljeg praćenja rasta!",10-12 months,Height for age,below -3SD,"3411, 3356, 3346, 3606",1,published,
23039,	Više o rastu 13 -24 meseca - ozbiljno zaostajanje u rastu,"Hitno! Rast vašeg deteta u dužinu/visinu ozbiljno zaostaje. Hitno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja odgovarajućeg tretmana i određivanja dinamike daljeg praćenja rasta!","13-18 months, 19-24 months",Height for age,below -3SD,"3391, 3386, 3361, 3606",1,published,
23040,	Više o rastu 25 - 60 meseca - ozbiljno zaostajanje u rastu,"Hitno! Rast vašeg deteta u dužinu/visinu ozbiljno zaostaje. Hitno zakažite pregled kod pedijatra radi dodatnog ispitivanja, dobijanja odgovarajućeg tretmana i određivanja dinamike daljeg praćenja rasta!","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,below -3SD,"3396, 5891, 3366, 3606",1,published,
23041,Više o rastu u prvih 6 meseci - visok rast za uzrast,Vaše dete je poraslo u visinu znatno iznad okvira uobičajenih za njegov uzrast i pol. Verovatno da je to rezultat njegovih genetskih potencijala ali ipak razgovarajte o tome sa pedijatrom. Nastavite da se pridžavate usvojenih preporuka i pratite rast vašeg deteta u regularnim intervalima.,"1st month, 2nd month, 3-4 months, 5-6 months",Height for age,above +3SD,"3401, 3341, 3346",1,published,
23042,	Više o rastu 7 -9 meseci - visok rast za uzrast,Vaše dete je poraslo u visinu znatno iznad okvira uobičajenih za njegov uzrast i pol. Verovatno da je to rezultat njegovih genetskih potencijala ali ipak razgovarajte o tome sa pedijatrom. Nastavite da se pridžavate usvojenih preporuka i pratite rast vašeg deteta u regularnim intervalima.,7-9 months,Height for age,above +3SD,"3406, 3351, 3346",1,published,
23043,Više o rastu 10-12 meseci - visok rast za uzrast,Vaše dete je poraslo u visinu znatno iznad okvira uobičajenih za njegov uzrast i pol. Verovatno da je to rezultat njegovih genetskih potencijala ali ipak razgovarajte o tome sa pedijatrom. Nastavite da se pridžavate usvojenih preporuka i pratite rast vašeg deteta u regularnim intervalima.,10-12 months,Height for age,above +3SD,"3411, 3356, 3346",1,published,
23044,Više o rastu 13-24 meseca - visok rast za uzrast,Vaše dete je poraslo u visinu znatno iznad okvira uobičajenih za njegov uzrast i pol. Verovatno da je to rezultat njegovih genetskih potencijala ali ipak razgovarajte o tome sa pedijatrom. Nastavite da se pridžavate usvojenih preporuka i pratite rast vašeg deteta u regularnim intervalima.,"13-18 months, 19-24 months",Height for age,above +3SD,"3391, 3386, 3361",1,published,
23045,Više o rastu 25-60 meseca - visok rast za uzrast,Vaše dete je poraslo u visinu znatno iznad okvira uobičajenih za njegov uzrast i pol. Verovatno da je to rezultat njegovih genetskih potencijala ali ipak razgovarajte o tome sa pedijatrom. Nastavite da se pridžavate usvojenih preporuka i pratite rast vašeg deteta u regularnim intervalima.,"25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,above +3SD,"3396, 5891, 3366",1,published,
