ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state
23011,Me shume rreth rritjes ne 6 muajt e pare te jetes-kequshqyerja e rende,"Kujdes!Femija juaj eshte duke humbur peshe (ose nuk po merr peshe) dhe ka nje mos korrelim te lehte te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit si diarea, disa semundje te tjera kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te korrigjoni humbjen ne peshe dhe te percaktoni dinamiken per monitorimin e ardhshem te rritjes. Femija juaj ka shume nevoje per permiresimin e dietes. ","1st Month, 2nd month, 3-4 months, 5-6 months",Height for weight,below -3SD,"3401, 3341, 3346, 3371",1,published
23012,Me shume rreth rritjes ne moshen 7-9 muajshe-kequshqyerja e rende,"Kujdes!Femija juaj ka humbje serioze te peshes (ose nuk po merr peshe) dhe ka nje mos korrelim serioz te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit, semundje metabolike dhe kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe urgjentisht te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te percaktoni sesi do te korrigjoni humbjen ne peshe.",7-9 months,Height for weight,below -3SD,"3406, 3351, 3346, 3371",1,published
23013,Me shume rreth rritjes ne moshen 10-12 muajshe-kequshqyerja e rende,"Kujdes!Femija juaj ka humbje serioze te peshes (ose nuk po merr peshe) dhe ka nje mos korrelim serioz te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit, semundje metabolike dhe kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe urgjentisht te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te percaktoni sesi do te korrigjoni humbjen ne peshe.",10-12 months,Height for weight,below -3SD,"3411, 3356, 3346",1,published
23014,Me shume rreth rritjes ne moshen 13-24 muajshe-kequshqyerja e rende,"Kujdes!Femija juaj ka humbje serioze te peshes (ose nuk po merr peshe) dhe ka nje mos korrelim serioz te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit, semundje metabolike dhe kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe urgjentisht te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te percaktoni sesi do te korrigjoni humbjen ne peshe.","13-18 months, 19-24 months",Height for weight,below -3SD,"3391, 3386, 3361, 3371",1,published
23015,Me shume rreth rritjes ne moshen 25-60 muajshe-kequshqyerja e rende,"Kujdes!Femija juaj ka humbje serioze te peshes (ose nuk po merr peshe) dhe ka nje mos korrelim serioz te peshes me gjatesine/lartesine. Kjo situate mund te kete ndodhur ne nje hapesire kohore prej disa javesh, prandaj merr ne konsiderate qe te gjesh disa nga shkaqet me te shpeshta dhe me akute:infeksione te koheve te fundit, semundje metabolike dhe kronike, diete jo e pershtatshme apo e pamjaftueshme, ndryshim i menjehershem i ambjentit, etj.Sigurohuni qe urgjentisht te caktoni nje takim-vizite me pediatrin tuaj qe te zbuloni shkakun, te percaktoni sesi do te korrigjoni humbjen ne peshe.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,below -3SD,"3396, 5891, 3366, 3371",1,published
23016,Me shume rreth rritjes ne 6 muajt e pare te jetes-mbipesha,"Kujdes! Femija juaj ka mbipeshe te lehte per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj keshtuqe mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh nje takim-vizite me pediatrin qe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,between +2 and +3SD,"3401, 3341, 3346, 3376",1,published
23017,Me shume rreth rritjes ne moshen 7-9 muajshe-mbipesha,"Kujdes! Femija juaj ka mbipeshe te lehte per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj keshtuqe mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh nje takim-vizite me pediatrin qe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",7-9 months,Height for weight,between +2 and +3SD,"3406, 3351, 3346, 3376",1,published
23018,Me shume rreth rritjes ne moshen 10-12 muajshe-mbipesha,"Kujdes! Femija juaj ka mbipeshe te lehte per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj keshtuqe mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh nje takim-vizite me pediatrin qe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",10-12 months,Height for weight,between +2 and +3SD,"3411, 3356, 3346, 3376",1,published
23019,Me shume rreth rritjes ne moshen 13-24 muajshe-mbipesha,"Kujdes! Femija juaj ka mbipeshe te lehte per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj keshtuqe mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh nje takim-vizite me pediatrin qe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","13-18 months, 19-24 months",Height for weight,between +2 and +3SD,"3391, 3386, 3361, 3381",1,published
23020,Me shume rreth rritjes ne moshen 25-60 muajshe-mbipesha,"Kujdes! Femija juaj ka mbipeshe te lehte per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj keshtuqe mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh nje takim-vizite me pediatrin qe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,between +2 and +3SD,"3396, 5891, 3366, 3381",1,published
23021,Me shume rreth rritjes ne 6 muajt e pare te jetes-obeziteti,"Nuk ka rrezik ose eshte minimal qe te kemi nje foshnje obeze ne 6 muajt e pare te jetes kur ajo ushqehet me qumesht gjiri. Eshte  e provuar dhe e konfirmuar  shkencerisht qe ushqyerja me qumesht gjiri, sidomos kur zgjat deri ne moshen 12 muajshe apo me teper mbron foshnjen nga obeziteti ne femijerine e vonshme apo ne adoleshence. Per foshnjat qe ushqehen me qumesht artificial ka gjithmone nje rrezik per obezitet. Per foshnjat qe jane mbi peshe apo jane obeze nje konsulte me pediatrin eshte shume e rendesishme dhe ndihmuese. Asnjehere mos i ndaloni ushqyerjen foshnjes me qellimin qe ta beni te humbase peshe. Per tu rritur dhe per tu zhvilluar sic duhet foshnjat kane nevoje per ushqyerje optimale, ushqyerje ekskluzive vetem me qumesht gjiri per 6 muajt e pare te jetes. Per foshnjat qe ushqehen me qumesht artificial sigurohuni qe te ndiqni udhezimet sic duhet per pergatitjen korekte te qumeshtit (sasia e sakte  e ujit dhe  e qumeshtit pluhur) dhe te ndiqni udhezimet e dhena per numrin e ushqyerjeve gjate nje dite dhe sasine optimale te qumeshtit artificial qe duhet te marre foshnja.","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,above +3SD,"3401, 3341, 3346, 3376",1,published
23022,Me shume rreth rritjes ne moshen 7-9 muajshe-obeziteti,"Kujdes! Femija juaj eshte obez dhe ka mos korrelim te rende te peshes per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj. Mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",7-9 months,Height for weight,above +3SD,"3406, 3351, 3346, 3376",1,published
23023,Me shume rreth rritjes ne moshen 10-12 muajshe-obeziteti,"Kujdes! Femija juaj eshte obez dhe ka mos korrelim te rende te peshes per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj. Mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",10-12 months,Height for weight,above +3SD,"3411, 3356, 3346, 3376",1,published
23024,Me shume rreth rritjes ne moshen 13-24 muajshe-obeziteti,"Kujdes! Femija juaj eshte obez dhe ka mos korrelim te rende te peshes per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj. Mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","13-18 months, 19-24 months",Height for weight,above +3SD,"3391, 3386, 3361, 3381",1,published
23025,Me shume rreth rritjes ne moshen 25-60 muajshe-obeziteti,"Kujdes! Femija juaj eshte obez dhe ka mos korrelim te rende te peshes per gjatesine qe ka.Kjo mbipeshe mund te rrezikoje shendetin e femijes tuaj. Mendo se cili shkak ka kontribuar ne kete situate:marrje te tepruara te ushqimeve te pasura ne energji (sic jane embelsirat, dhe produktet yndyrore), marrja e ushqimeve te demshme, reduktimi i aktivitetit fizik, rritje e kohes qe qendron para televizorit apo mjeteve elektronike ose ndryshimi i menjehershem i ambjentit, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,above +3SD,"3396, 5891, 3366, 3381",1,published
23026,Me shume rreth rritjes ne 6 muajt e pare te jetes-rritja tipike per moshen,"Ju lumte! Rritja e femijes suaj ne gjatesi/lartesi eshte ne linje ose lehtesisht me lart per moshen dhe gjinine qe ka. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin dhe monitoro ne vazhdimesi rritjen e femijes tuaj.","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,between -2SD to +3SD,"3401, 3341, 3346",1,published
23027,Me shume rreth rritjes ne moshen 7-9 muajshe -rritja tipike per moshen,"Ju lumte! Rritja e femijes suaj ne gjatesi/lartesi eshte ne linje ose lehtesisht me lart per moshen dhe gjinine qe ka. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin dhe monitoro ne vazhdimesi rritjen e femijes tuaj.",7-9 months,Height for age,between -2SD to +3SD,"3406, 3351, 3346",1,published
23028,Me shume rreth rritjes ne moshen 10-12 muajshe -rritja tipike per moshen,"Ju lumte! Rritja e femijes suaj ne gjatesi/lartesi eshte ne linje ose lehtesisht me lart per moshen dhe gjinine qe ka. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin dhe monitoro ne vazhdimesi rritjen e femijes tuaj.",10-12 months,Height for age,between -2SD to +3SD,"3411, 3356, 3346",1,published
23029,Me shume rreth rritjes ne moshen 13-24 muajshe -rritja tipike per moshen,"Ju lumte! Rritja e femijes suaj ne gjatesi/lartesi eshte ne linje ose lehtesisht me lart per moshen dhe gjinine qe ka. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin dhe monitoro ne vazhdimesi rritjen e femijes tuaj.","13-18 months, 19-24 months",Height for age,between -2SD to +3SD,"3391, 3386, 3361",1,published
23030,Me shume rreth rritjes ne moshen 25-72 muajshe -rritja tipike per moshen,"Ju lumte! Rritja e femijes suaj ne gjatesi/lartesi eshte ne linje ose lehtesisht me lart per moshen dhe gjinine qe ka. Vazhdo qe te ndjekesh rekomandimet per ushqyerjen optimale, aktivitetin fizik dhe gjumin dhe monitoro ne vazhdimesi rritjen e femijes tuaj.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,between -2SD to +3SD,"3396, 5891, 3366 ",1,published
23031,Me shume rreth rritjes ne 6 muajt e pare te jetes -vonese e lehte e rritjes,"Kujdes! Rritja e femijes tuaj ne gjatesi/lartesi eshte ngadalesuar dhe tani eshte lehtesisht e frenuar. Merrni ne konsiderate cdo shkak sado I larget qe ka kontribuar ne kete gje te tilla si:nenushqyerja kronike, semundje kronike, semundje endokrine, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,below -2SD,"3401, 3341, 3346, 3606",1,published
23032,Me shume rreth rritjes ne moshen 7-9 muajshe -vonese e lehte e rritjes,"Kujdes! Rritja e femijes tuaj ne gjatesi/lartesi eshte ngadalesuar dhe tani eshte lehtesisht e frenuar. Merrni ne konsiderate cdo shkak sado I larget qe ka kontribuar ne kete gje te tilla si:nenushqyerja kronike, semundje kronike, semundje endokrine, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",7-9 months,Height for age,below -2SD,"3406, 3351, 3346, 3606",1,published
23033,Me shume rreth rritjes ne moshen 10-12 muajshe -vonese e lehte e rritjes,"Kujdes! Rritja e femijes tuaj ne gjatesi/lartesi eshte ngadalesuar dhe tani eshte lehtesisht e frenuar. Merrni ne konsiderate cdo shkak sado I larget qe ka kontribuar ne kete gje te tilla si:nenushqyerja kronike, semundje kronike, semundje endokrine, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",10-12 months,Height for age,below -2SD,"3411, 3356, 3346",1,published
23034,Me shume rreth rritjes ne moshen 13-24 muajshe -vonese e lehte e rritjes,"Kujdes! Rritja e femijes tuaj ne gjatesi/lartesi eshte ngadalesuar dhe tani eshte lehtesisht e frenuar. Merrni ne konsiderate cdo shkak sado I larget qe ka kontribuar ne kete gje te tilla si:nenushqyerja kronike, semundje kronike, semundje endokrine, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","13-18 months, 19-24 months",Height for age,below -2SD,"3391, 3386, 3361, 3606",1,published
23035,Me shume rreth rritjes ne moshen 25-60 muajshe -vonese e lehte e rritjes,"Kujdes! Rritja e femijes tuaj ne gjatesi/lartesi eshte ngadalesuar dhe tani eshte lehtesisht e frenuar. Merrni ne konsiderate cdo shkak sado I larget qe ka kontribuar ne kete gje te tilla si:nenushqyerja kronike, semundje kronike, semundje endokrine, etj.Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,below -2SD,"3396, 5891, 3366, 3606",1,published
23036,Me shume rreth rritjes ne 6 mujorin e pare te jetes -vonese e rende e rritjes,"Urgjent! Rritja e femijes tuaj ne gjatesi/lartesi eshte seriozisht e frenuar. Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,below -3SD,"3401, 3341, 3346",1,published
23037,Me shume rreth rritjes ne moshen 7-9 muajshe -vonese e rende e rritjes,"Urgjent! Rritja e femijes tuaj ne gjatesi/lartesi eshte seriozisht e frenuar. Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",7-9 months,Height for age,below -3SD,"3406, 3351, 3346, 3606",1,published
23038,Me shume rreth rritjes ne moshen 10-12 muajshe -vonese e rende e rritjes,"Urgjent! Rritja e femijes tuaj ne gjatesi/lartesi eshte seriozisht e frenuar. Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.",10-12 months,Height for age,below -3SD,"3411, 3356, 3346, 3606",1,published
23039,Me shume rreth rritjes ne moshen 13-24 muajshe -vonese e rende e rritjes,"Urgjent! Rritja e femijes tuaj ne gjatesi/lartesi eshte seriozisht e frenuar. Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","13-18 months, 19-24 months",Height for age,below -3SD,"3391, 3386, 3361, 3606",1,published
23040,Me shume rreth rritjes ne moshen 25-60 muajshe -vonese e rende e rritjes,"Urgjent! Rritja e femijes tuaj ne gjatesi/lartesi eshte seriozisht e frenuar. Sigurohu qe te lesh urgjentisht nje takim-vizite me pediatrin qe te beni ekzaminimet e duhura, te vendoset diagnoza dhe te merrni keshillat dhe rekomandimet e duhura dhe te percaktoni sesi do te ndiqni dinamiken e rritjes se femijes tuaj.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,below -3SD,"3396, 5891, 3366, 3606",1,published
